ts,legit_0xca,a2_ovs1,a2_ovsgw,online,level,fp_events
2026-08-15T21:41:28,0,15,13,1,69.6,0
2026-08-15T21:41:49,0,15,13,1,37.0,0
2026-08-15T21:42:09,0,15,13,1,64.6,0
2026-08-15T21:42:29,0,15,13,1,29.0,0
2026-08-15T21:42:49,0,15,13,1,58.4,0
2026-08-15T21:43:09,0,15,13,1,46.1,0
2026-08-15T21:43:29,0,15,13,1,51.1,0
2026-08-15T21:43:50,0,15,13,1,65.6,0
2026-08-15T21:44:10,0,15,13,1,41.9,0
2026-08-15T21:44:30,0,15,13,1,67.0,0
2026-08-15T21:44:50,0,15,13,1,31.6,0
2026-08-15T21:45:10,0,15,13,1,61.4,0
2026-08-15T21:45:30,0,15,13,1,37.8,0
2026-08-15T21:45:51,0,15,13,1,54.9,0
2026-08-15T21:46:11,0,15,13,1,56.3,0
