ts,gap,attempt,outcome,detail
2026-08-15T21:57:36,fragmentation,split@byte14,EVADED,reassembly+PDU-anchored rules
2026-08-15T21:57:43,fragmentation,split@byte9,EVADED,reassembly+PDU-anchored rules
2026-08-15T21:57:49,transient_injection,2s inject/delete #1,missed_by_poll,10s poll vs event monitor
2026-08-15T21:57:55,transient_injection,2s inject/delete #2,missed_by_poll,10s poll vs event monitor
2026-08-15T21:58:01,transient_injection,2s inject/delete #3,missed_by_poll,10s poll vs event monitor
2026-08-15T21:58:06,seq_injection,spoofed out-of-window ACK (HMI->PLC),SENT_for_manual_pcap_check,GUARD binds HMI to port+MAC; confirm ct_state=+inv on the mirror
2026-08-15T21:58:17,state_exhaustion,8s spoofed-source SYN flood,PROCESS_OK,conntrack before=NA after=NA
2026-08-15T21:58:54,half_open,3 isolate-mid-session bursts,PLC_POOL_OK,half-open on S7 accept queue until PLC TCP timeout
2026-08-15T21:59:06,rare_modbus,FC 0x11 x3,not_recovered,single-frame DPI limit
2026-08-15T21:59:22,rare_modbus,FC 0x2b x3,not_recovered,single-frame DPI limit
2026-08-15T21:59:38,rare_modbus,FC 0x08 x3,not_recovered,single-frame DPI limit
