ts,response_tested,src,dst,verdict,rule
2026-08-15T21:30:34,ALLOW,192.168.2.31,192.168.2.10,ALLOW OPERATIONAL,none
2026-08-15T21:30:34,REFUSE,192.168.2.9,192.168.2.10,REFUSE CRITICAL,none
2026-08-15T21:30:34,THROTTLE,192.168.2.31,192.168.2.20,BLOCK SENSITIVE,none
2026-08-15T21:30:34,DEFLECT,192.168.2.66,192.168.2.10,DEFLECT FORBIDDEN,priority=105
2026-08-15T21:35:30,ALLOW,192.168.2.31,192.168.2.10,ALLOW OPERATIONAL,none
2026-08-15T21:35:30,REFUSE,192.168.2.9,192.168.2.10,REFUSE CRITICAL,none
2026-08-15T21:35:30,THROTTLE,192.168.2.31,192.168.2.20,BLOCK SENSITIVE,none
2026-08-15T21:35:30,DEFLECT,192.168.2.66,192.168.2.10,DEFLECT FORBIDDEN,priority=105
2026-08-15T21:50:24,ALLOW,192.168.2.31,192.168.2.10,ALLOW OPERATIONAL,none
2026-08-15T21:50:24,REFUSE,192.168.2.9,192.168.2.10,REFUSE CRITICAL,none
2026-08-15T21:50:24,THROTTLE,192.168.2.31,192.168.2.20,BLOCK SENSITIVE,none
2026-08-15T21:50:24,DEFLECT,192.168.2.66,192.168.2.10,DEFLECT FORBIDDEN,priority=105
2026-08-15T21:57:20,ALLOW,192.168.2.31,192.168.2.10,ALLOW OPERATIONAL,none
2026-08-15T21:57:20,REFUSE,192.168.2.9,192.168.2.10,REFUSE CRITICAL,none
2026-08-15T21:57:20,THROTTLE,192.168.2.31,192.168.2.20,BLOCK SENSITIVE,none
2026-08-15T21:57:20,DEFLECT,192.168.2.66,192.168.2.10,DEFLECT FORBIDDEN,priority=105
