ts,online,level,restores,ca_ovs1,ca_ovsgw,a2_ovs1,a2_ovsgw,flowaudit,cars_ms_avg,cars_ms_n
2026-08-15T21:24:37,1,48.2,41,0,0,15,13,CLEAN,0.177,32369
2026-08-15T21:25:37,1,65.1,41,0,0,15,13,CLEAN,0.176,32484
2026-08-15T21:26:37,1,44.0,41,0,0,15,13,CLEAN,0.176,32587
2026-08-15T21:27:38,1,42.6,41,0,0,15,13,CLEAN,0.176,32700
2026-08-15T21:28:38,1,61.5,41,0,0,15,13,CLEAN,0.175,32807
2026-08-15T21:29:38,1,56.8,42,0,0,15,13,CLEAN,0.175,32916
2026-08-15T21:30:39,1,36.4,44,1,1,15,13,CLEAN,0.174,33038
2026-08-15T21:31:39,1,44.0,44,0,0,15,13,CLEAN,0.174,33092
2026-08-15T21:32:39,1,61.7,44,1,1,15,13,CLEAN,0.174,33163
2026-08-15T21:33:40,1,56.0,44,0,0,15,13,CLEAN,0.173,33272
2026-08-15T21:34:40,1,36.2,44,0,0,15,13,CLEAN,0.173,33377
2026-08-15T21:35:40,1,55.8,44,2,2,15,13,CLEAN,0.173,33502
2026-08-15T21:36:40,1,59.3,44,0,0,15,13,CLEAN,0.172,33585
2026-08-15T21:37:41,1,65.9,44,0,0,15,13,CLEAN,0.172,33695
2026-08-15T21:38:41,1,32.6,44,0,0,15,13,CLEAN,0.172,33800
2026-08-15T21:39:41,1,55.1,45,238,238,15,13,CLEAN,0.174,34456
2026-08-15T21:40:41,1,69.4,45,249,249,15,13,CLEAN,0.178,35373
2026-08-15T21:41:42,1,31.3,45,0,0,15,13,CLEAN,0.177,35507
2026-08-15T21:42:42,1,48.7,45,0,0,15,13,CLEAN,0.177,35665
2026-08-15T21:43:42,1,65.5,45,0,0,15,13,CLEAN,0.176,35821
2026-08-15T21:44:43,1,44.5,45,0,0,15,13,CLEAN,0.175,35979
2026-08-15T21:45:43,1,43.1,45,0,0,15,13,CLEAN,0.175,36134
2026-08-15T21:46:43,1,62.1,46,0,0,15,13,CLEAN,0.174,36262
2026-08-15T21:47:43,1,54.4,46,1,1,15,13,CLEAN,0.174,36364
2026-08-15T21:48:44,1,37.2,47,0,0,15,13,CLEAN,0.174,36479
2026-08-15T21:49:44,1,58.6,47,1,1,15,13,CLEAN,0.173,36584
2026-08-15T21:50:44,1,61.2,47,0,0,15,13,CLEAN,0.173,36694
2026-08-15T21:51:45,1,41.2,47,0,0,15,13,CLEAN,0.173,36768
2026-08-15T21:52:45,1,60.7,47,0,0,15,13,CLEAN,0.172,36878
2026-08-15T21:53:45,1,61.0,47,0,0,15,13,CLEAN,0.172,36986
2026-08-15T21:54:45,1,34.1,48,0,0,15,13,CLEAN,0.172,37094
2026-08-15T21:55:46,1,56.1,50,0,0,15,13,CLEAN,0.171,37213
2026-08-15T21:56:46,1,70.1,50,0,0,15,13,CLEAN,0.171,37315
2026-08-15T21:57:46,1,67.5,50,0,0,15,13,CLEAN,0.171,37421
2026-08-15T21:58:46,1,43.2,50,0,0,15,13,CLEAN,0.171,37675
2026-08-15T21:59:47,1,62.1,50,0,0,15,13,CLEAN,0.171,37777
2026-08-15T22:00:47,1,54.6,50,1,1,15,13,CLEAN,0.17,37879
2026-08-15T22:01:47,1,36.8,51,0,0,15,13,CLEAN,0.17,37993
2026-08-15T22:02:48,1,58.1,51,1,1,15,13,CLEAN,0.17,38103
2026-08-15T22:03:48,1,66.9,53,0,0,15,13,CLEAN,0.169,38180
