ts,label,atk,t0,t_enforce,mttm_ms,response,hard_timeout,leaked_frames
2026-08-15T21:24:47,recon_connect,192.168.2.66,1786825485.640855,1786825485.716217,75.36,ISOLATE_or_BLOCK,75,0
2026-08-15T21:24:54,unauth_write,192.168.2.66,1786825492.323195,1786825492.330318,7.12,ISOLATE_or_BLOCK,75,0
2026-08-15T21:25:01,unauth_control,192.168.2.66,1786825498.970235,1786825499.010068,39.83,ISOLATE_or_BLOCK,75,0
2026-08-15T21:25:07,modbus_illegal,192.168.2.31,1786825505.599023,1786825505.607564,8.54,ISOLATE_or_BLOCK,30,0
2026-08-15T21:25:14,fdi_scada,192.168.2.31,1786825512.197407,1786825512.291597,94.19,ISOLATE_or_BLOCK,75,7
2026-08-15T21:25:21,fdi_high,192.168.2.31,1786825518.938031,1786825519.026256,88.23,ISOLATE_or_BLOCK,75,6
2026-08-15T21:25:27,modbus_scan,192.168.2.31,1786825525.598280,1786825525.606584,8.30,ISOLATE_or_BLOCK,30,0
2026-08-15T21:26:28,recon_connect,192.168.2.66,1786825586.651087,1786825586.659694,8.61,ISOLATE_or_BLOCK,75,0
2026-08-15T21:26:35,unauth_write,192.168.2.66,1786825593.291989,1786825593.298773,6.78,ISOLATE_or_BLOCK,75,0
2026-08-15T21:26:42,unauth_control,192.168.2.66,1786825599.941040,1786825599.949225,8.18,ISOLATE_or_BLOCK,75,0
2026-08-15T21:26:48,modbus_illegal,192.168.2.31,1786825606.540990,1786825606.548229,7.24,ISOLATE_or_BLOCK,30,0
2026-08-15T21:26:55,fdi_scada,192.168.2.31,1786825613.144993,1786825613.239879,94.89,ISOLATE_or_BLOCK,75,7
2026-08-15T21:27:02,fdi_high,192.168.2.31,1786825619.869342,1786825619.968986,99.64,ISOLATE_or_BLOCK,75,6
2026-08-15T21:27:08,modbus_scan,192.168.2.31,1786825626.572863,1786825626.580133,7.27,ISOLATE_or_BLOCK,30,0
2026-08-15T21:28:09,recon_connect,192.168.2.66,1786825687.573870,1786825687.580961,7.09,ISOLATE_or_BLOCK,75,0
2026-08-15T21:28:16,unauth_write,192.168.2.66,1786825694.209892,1786825694.217943,8.05,ISOLATE_or_BLOCK,75,0
2026-08-15T21:28:23,unauth_control,192.168.2.66,1786825700.859205,1786825700.866741,7.54,ISOLATE_or_BLOCK,75,0
2026-08-15T21:28:29,modbus_illegal,192.168.2.31,1786825707.464472,1786825707.471006,6.53,ISOLATE_or_BLOCK,30,0
2026-08-15T21:28:36,fdi_scada,192.168.2.31,1786825714.090394,1786825714.198255,107.86,ISOLATE_or_BLOCK,75,7
2026-08-15T21:28:43,fdi_high,192.168.2.31,1786825720.833539,1786825720.914126,80.59,ISOLATE_or_BLOCK,75,6
2026-08-15T21:28:49,modbus_scan,192.168.2.31,1786825727.494826,1786825727.503750,8.92,ISOLATE_or_BLOCK,30,0
2026-08-15T21:29:50,recon_connect,192.168.2.66,1786825788.496703,1786825788.504939,8.24,ISOLATE_or_BLOCK,75,0
2026-08-15T21:29:57,unauth_write,192.168.2.66,1786825795.156831,1786825795.162780,5.95,ISOLATE_or_BLOCK,75,0
2026-08-15T21:30:04,unauth_control,192.168.2.66,1786825801.807237,1786825801.813504,6.27,ISOLATE_or_BLOCK,75,0
2026-08-15T21:30:10,modbus_illegal,192.168.2.31,1786825808.408257,1786825808.415572,7.31,ISOLATE_or_BLOCK,30,0
2026-08-15T21:30:17,fdi_scada,192.168.2.31,1786825815.010355,1786825815.112727,102.37,ISOLATE_or_BLOCK,75,7
2026-08-15T21:30:24,fdi_high,192.168.2.31,1786825821.770111,1786825821.865605,95.49,ISOLATE_or_BLOCK,75,6
2026-08-15T21:30:30,modbus_scan,192.168.2.31,1786825828.446073,1786825828.453510,7.44,ISOLATE_or_BLOCK,30,0
2026-08-15T21:33:05,recon_connect,192.168.2.66,1786825983.055230,1786825983.062270,7.04,ISOLATE_or_BLOCK,75,0
