ts,dst,crit,response,hard_timeout_installed,cars_ms
2026-08-15T21:30:35,192.168.2.10,CRITICAL,ISOLATE,75,0.144
2026-08-15T21:30:37,192.168.3.10,HIGH,ISOLATE,60,0.522
2026-08-15T21:30:38,192.168.2.30,MEDIUM,ISOLATE,45,0.703
2026-08-15T21:30:40,192.168.2.20,LOW,ISOLATE,30,0.624
2026-08-15T21:35:31,192.168.2.10,CRITICAL,ISOLATE,75,0.611
2026-08-15T21:35:32,192.168.3.10,HIGH,ISOLATE,60,0.592
2026-08-15T21:35:34,192.168.2.30,MEDIUM,ISOLATE,45,0.513
2026-08-15T21:35:36,192.168.2.20,LOW,ISOLATE,30,0.618
2026-08-15T21:50:25,192.168.2.10,CRITICAL,ISOLATE,75,0.586
2026-08-15T21:50:26,192.168.3.10,HIGH,ISOLATE,60,0.567
2026-08-15T21:50:28,192.168.2.30,MEDIUM,ISOLATE,45,0.151
2026-08-15T21:50:29,192.168.2.20,LOW,ISOLATE,30,0.567
2026-08-15T21:57:21,192.168.2.10,CRITICAL,ISOLATE,75,0.319
2026-08-15T21:57:23,192.168.3.10,HIGH,ISOLATE,60,0.357
2026-08-15T21:57:24,192.168.2.30,MEDIUM,ISOLATE,45,0.645
2026-08-15T21:57:26,192.168.2.20,LOW,ISOLATE,30,0.182
