ts,probe,detail,outcome
2026-08-16T02:00:01,segmentation,atk_to_192.168.2.20,segmented_ok
2026-08-16T02:00:01,segmentation,atk_to_192.168.3.10,segmented_ok
2026-08-16T02:00:04,guard_antispoof,drops_before=353 after=368,SPOOF_DROPPED
2026-08-16T02:00:04,authapi,unauth_POST_/cars/defense,HTTP_401_REFUSED
2026-08-16T02:00:04,authapi,unauth_POST_/cars/restore,HTTP_401_REFUSED
2026-08-16T02:00:04,authapi,unauth_POST_/cars/reload,HTTP_401_REFUSED
2026-08-16T02:00:04,authapi,armstate_after_unauth,ARMED
2026-08-16T02:07:07,segmentation,atk_to_192.168.2.20,segmented_ok
2026-08-16T02:07:07,segmentation,atk_to_192.168.3.10,segmented_ok
2026-08-16T02:07:10,guard_antispoof,drops_before=368 after=383,SPOOF_DROPPED
2026-08-16T02:07:11,authapi,unauth_POST_/cars/defense,HTTP_401_REFUSED
2026-08-16T02:07:11,authapi,unauth_POST_/cars/restore,HTTP_401_REFUSED
2026-08-16T02:07:11,authapi,unauth_POST_/cars/reload,HTTP_401_REFUSED
2026-08-16T02:07:11,authapi,armstate_after_unauth,ARMED
2026-08-16T02:14:48,segmentation,atk_to_192.168.2.20,segmented_ok
2026-08-16T02:14:48,segmentation,atk_to_192.168.3.10,segmented_ok
2026-08-16T02:14:52,guard_antispoof,drops_before=383 after=398,SPOOF_DROPPED
2026-08-16T02:14:52,authapi,unauth_POST_/cars/defense,HTTP_401_REFUSED
2026-08-16T02:14:52,authapi,unauth_POST_/cars/restore,HTTP_401_REFUSED
2026-08-16T02:14:52,authapi,unauth_POST_/cars/reload,HTTP_401_REFUSED
2026-08-16T02:14:52,authapi,armstate_after_unauth,ARMED
2026-08-16T02:21:55,segmentation,atk_to_192.168.2.20,segmented_ok
2026-08-16T02:21:55,segmentation,atk_to_192.168.3.10,segmented_ok
2026-08-16T02:21:58,guard_antispoof,drops_before=398 after=413,SPOOF_DROPPED
2026-08-16T02:21:58,authapi,unauth_POST_/cars/defense,HTTP_401_REFUSED
2026-08-16T02:21:58,authapi,unauth_POST_/cars/restore,HTTP_401_REFUSED
2026-08-16T02:21:58,authapi,unauth_POST_/cars/reload,HTTP_401_REFUSED
2026-08-16T02:21:58,authapi,armstate_after_unauth,ARMED
2026-08-16T02:29:01,segmentation,atk_to_192.168.2.20,segmented_ok
