ts,response_tested,src,dst,verdict,rule
2026-08-16T01:59:53,ALLOW,192.168.2.31,192.168.2.10,ALLOW OPERATIONAL,none
2026-08-16T01:59:53,REFUSE,192.168.2.9,192.168.2.10,REFUSE CRITICAL,none
2026-08-16T01:59:53,THROTTLE,192.168.2.31,192.168.2.20,THROTTLE SENSITIVE,meter:1
2026-08-16T01:59:53,DEFLECT,192.168.2.66,192.168.2.10,DEFLECT FORBIDDEN,priority=105
2026-08-16T02:06:59,ALLOW,192.168.2.31,192.168.2.10,ALLOW OPERATIONAL,none
2026-08-16T02:06:59,REFUSE,192.168.2.9,192.168.2.10,REFUSE CRITICAL,none
2026-08-16T02:06:59,THROTTLE,192.168.2.31,192.168.2.20,THROTTLE SENSITIVE,meter:1
2026-08-16T02:06:59,DEFLECT,192.168.2.66,192.168.2.10,DEFLECT FORBIDDEN,priority=105
2026-08-16T02:14:41,ALLOW,192.168.2.31,192.168.2.10,ALLOW OPERATIONAL,none
2026-08-16T02:14:41,REFUSE,192.168.2.9,192.168.2.10,REFUSE CRITICAL,none
2026-08-16T02:14:41,THROTTLE,192.168.2.31,192.168.2.20,THROTTLE SENSITIVE,meter:1
2026-08-16T02:14:41,DEFLECT,192.168.2.66,192.168.2.10,DEFLECT FORBIDDEN,priority=105
2026-08-16T02:21:47,ALLOW,192.168.2.31,192.168.2.10,ALLOW OPERATIONAL,none
2026-08-16T02:21:47,REFUSE,192.168.2.9,192.168.2.10,REFUSE CRITICAL,none
2026-08-16T02:21:47,THROTTLE,192.168.2.31,192.168.2.20,THROTTLE SENSITIVE,meter:1
2026-08-16T02:21:47,DEFLECT,192.168.2.66,192.168.2.10,DEFLECT FORBIDDEN,priority=105
2026-08-16T02:28:53,ALLOW,192.168.2.31,192.168.2.10,ALLOW OPERATIONAL,none
2026-08-16T02:28:54,REFUSE,192.168.2.9,192.168.2.10,REFUSE CRITICAL,none
2026-08-16T02:28:54,THROTTLE,192.168.2.31,192.168.2.20,THROTTLE SENSITIVE,meter:1
2026-08-16T02:28:54,DEFLECT,192.168.2.66,192.168.2.10,DEFLECT FORBIDDEN,priority=105
2026-08-16T02:36:35,ALLOW,192.168.2.31,192.168.2.10,ALLOW OPERATIONAL,none
2026-08-16T02:36:35,REFUSE,192.168.2.9,192.168.2.10,REFUSE CRITICAL,none
2026-08-16T02:36:35,THROTTLE,192.168.2.31,192.168.2.20,THROTTLE SENSITIVE,meter:1
2026-08-16T02:36:35,DEFLECT,192.168.2.66,192.168.2.10,DEFLECT FORBIDDEN,priority=105
2026-08-16T02:43:42,ALLOW,192.168.2.31,192.168.2.10,ALLOW OPERATIONAL,none
2026-08-16T02:43:42,REFUSE,192.168.2.9,192.168.2.10,REFUSE CRITICAL,none
2026-08-16T02:43:42,THROTTLE,192.168.2.31,192.168.2.20,THROTTLE SENSITIVE,meter:1
2026-08-16T02:43:42,DEFLECT,192.168.2.66,192.168.2.10,DEFLECT FORBIDDEN,priority=105
2026-08-16T02:51:23,ALLOW,192.168.2.31,192.168.2.10,ALLOW OPERATIONAL,none
2026-08-16T02:51:23,REFUSE,192.168.2.9,192.168.2.10,REFUSE CRITICAL,none
2026-08-16T02:51:23,THROTTLE,192.168.2.31,192.168.2.20,THROTTLE SENSITIVE,meter:1
2026-08-16T02:51:24,DEFLECT,192.168.2.66,192.168.2.10,DEFLECT FORBIDDEN,priority=105
2026-08-16T02:58:30,ALLOW,192.168.2.31,192.168.2.10,ALLOW OPERATIONAL,none
2026-08-16T02:58:30,REFUSE,192.168.2.9,192.168.2.10,REFUSE CRITICAL,none
2026-08-16T02:58:30,THROTTLE,192.168.2.31,192.168.2.20,THROTTLE SENSITIVE,meter:1
2026-08-16T02:58:30,DEFLECT,192.168.2.66,192.168.2.10,DEFLECT FORBIDDEN,priority=105
2026-08-16T03:03:31,ALLOW,192.168.2.31,192.168.2.10,ALLOW OPERATIONAL,none
2026-08-16T03:03:31,REFUSE,192.168.2.9,192.168.2.10,REFUSE CRITICAL,none
2026-08-16T03:03:31,THROTTLE,192.168.2.31,192.168.2.20,THROTTLE SENSITIVE,meter:1
2026-08-16T03:03:31,DEFLECT,192.168.2.66,192.168.2.10,DEFLECT FORBIDDEN,priority=105
2026-08-16T03:11:13,ALLOW,192.168.2.31,192.168.2.10,ALLOW OPERATIONAL,none
2026-08-16T03:11:13,REFUSE,192.168.2.9,192.168.2.10,REFUSE CRITICAL,none
2026-08-16T03:11:13,THROTTLE,192.168.2.31,192.168.2.20,THROTTLE SENSITIVE,meter:1
2026-08-16T03:11:13,DEFLECT,192.168.2.66,192.168.2.10,DEFLECT FORBIDDEN,priority=105
2026-08-16T03:18:19,ALLOW,192.168.2.31,192.168.2.10,ALLOW OPERATIONAL,none
2026-08-16T03:18:19,REFUSE,192.168.2.9,192.168.2.10,REFUSE CRITICAL,none
2026-08-16T03:18:19,THROTTLE,192.168.2.31,192.168.2.20,THROTTLE SENSITIVE,meter:1
2026-08-16T03:18:19,DEFLECT,192.168.2.66,192.168.2.10,DEFLECT FORBIDDEN,priority=105
2026-08-16T03:26:01,ALLOW,192.168.2.31,192.168.2.10,ALLOW OPERATIONAL,none
2026-08-16T03:26:01,REFUSE,192.168.2.9,192.168.2.10,REFUSE CRITICAL,none
2026-08-16T03:26:01,THROTTLE,192.168.2.31,192.168.2.20,THROTTLE SENSITIVE,meter:1
2026-08-16T03:26:01,DEFLECT,192.168.2.66,192.168.2.10,DEFLECT FORBIDDEN,priority=105
