ts,online,level,restores,ca_ovs1,ca_ovsgw,a2_ovs1,a2_ovsgw,flowaudit,cars_ms_avg,cars_ms_n
2026-08-16T01:53:45,1,37.2,208,0,0,15,13,CLEAN,0.121,60238
2026-08-16T01:54:46,1,45.6,208,0,0,15,13,CLEAN,0.121,60345
2026-08-16T01:55:46,1,63.6,208,0,0,15,13,CLEAN,0.12,60453
2026-08-16T01:56:46,1,51.0,208,0,0,15,13,CLEAN,0.12,60555
2026-08-16T01:57:47,1,39.1,208,0,0,15,13,CLEAN,0.12,60664
2026-08-16T01:58:47,1,59.1,208,0,0,15,13,CLEAN,0.12,60764
2026-08-16T01:59:47,1,65.7,209,0,0,15,13,CLEAN,0.12,60874
2026-08-16T02:00:47,1,54.4,209,0,0,15,13,CLEAN,0.12,60968
2026-08-16T02:01:48,1,37.1,209,0,0,15,13,CLEAN,0.12,61067
2026-08-16T02:02:48,1,58.4,209,0,0,15,13,CLEAN,0.12,61169
2026-08-16T02:03:48,1,66.9,209,0,0,15,13,CLEAN,0.119,61276
2026-08-16T02:04:48,1,30.0,209,0,0,15,13,CLEAN,0.119,61383
2026-08-16T02:05:49,1,54.2,209,0,0,15,13,CLEAN,0.119,61484
2026-08-16T02:06:49,1,68.8,209,0,0,15,13,CLEAN,0.119,61593
2026-08-16T02:07:49,1,65.9,209,0,0,15,13,CLEAN,0.119,61689
2026-08-16T02:08:50,1,31.2,209,0,0,15,13,CLEAN,0.119,61791
2026-08-16T02:09:50,1,55.0,209,0,0,15,13,CLEAN,0.119,61893
2026-08-16T02:10:50,1,69.6,209,1,1,15,13,CLEAN,0.119,62003
2026-08-16T02:11:50,1,29.4,209,0,0,15,13,CLEAN,0.118,62104
2026-08-16T02:12:51,1,50.7,209,0,0,15,13,CLEAN,0.118,62211
2026-08-16T02:13:51,1,66.6,209,0,0,15,13,CLEAN,0.118,62313
2026-08-16T02:14:51,1,46.1,209,2,2,15,13,CLEAN,0.118,62429
2026-08-16T02:15:51,1,25.7,209,0,0,15,13,CLEAN,0.118,62513
2026-08-16T02:16:52,1,52.5,210,0,0,15,13,CLEAN,0.118,62619
2026-08-16T02:17:52,1,67.7,210,0,0,15,13,CLEAN,0.118,62724
2026-08-16T02:18:52,1,35.7,211,0,0,15,13,CLEAN,0.118,62829
2026-08-16T02:19:52,1,46.6,211,0,0,15,13,CLEAN,0.117,62938
2026-08-16T02:20:53,1,64.3,211,0,0,15,13,CLEAN,0.117,63037
2026-08-16T02:21:53,1,47.3,211,1,1,15,13,CLEAN,0.117,63152
2026-08-16T02:22:53,1,32.1,211,0,0,15,13,CLEAN,0.117,63239
2026-08-16T02:23:53,1,49.0,211,0,0,15,13,CLEAN,0.117,63342
2026-08-16T02:24:54,1,65.7,211,0,0,15,13,CLEAN,0.117,63448
2026-08-16T02:25:54,1,42.7,212,0,0,15,13,CLEAN,0.117,63551
2026-08-16T02:26:54,1,42.7,212,0,0,15,13,CLEAN,0.117,63662
2026-08-16T02:27:55,1,61.6,212,0,0,15,13,CLEAN,0.117,63761
2026-08-16T02:28:55,1,57.3,212,1,1,15,13,CLEAN,0.116,63873
2026-08-16T02:29:55,1,57.3,219,0,0,15,13,CLEAN,0.116,63965
2026-08-16T02:30:55,1,34.7,219,0,0,15,13,CLEAN,0.116,64068
2026-08-16T02:31:56,1,57.3,219,0,0,15,13,CLEAN,0.116,64172
2026-08-16T02:32:56,1,70.9,219,0,0,15,13,CLEAN,0.116,64277
2026-08-16T02:33:56,1,28.2,219,0,0,15,13,CLEAN,0.116,64380
2026-08-16T02:34:57,1,52.5,219,0,0,15,13,CLEAN,0.116,64488
2026-08-16T02:35:57,1,67.7,219,0,0,15,13,CLEAN,0.116,64595
2026-08-16T02:36:57,1,68.5,219,0,0,15,13,CLEAN,0.116,64696
2026-08-16T02:37:57,1,33.5,219,0,0,15,13,CLEAN,0.115,64791
2026-08-16T02:38:58,1,48.2,219,0,0,15,13,CLEAN,0.115,64892
2026-08-16T02:39:58,1,65.0,219,0,0,15,13,CLEAN,0.115,64998
2026-08-16T02:40:58,1,45.4,219,0,0,15,13,CLEAN,0.115,65100
2026-08-16T02:41:58,1,41.7,219,0,0,15,13,CLEAN,0.115,65207
2026-08-16T02:42:59,1,61.2,219,0,0,15,13,CLEAN,0.115,65310
2026-08-16T02:43:59,1,66.6,220,0,0,15,13,CLEAN,0.115,65420
2026-08-16T02:44:59,1,38.2,220,0,0,15,13,CLEAN,0.115,65513
2026-08-16T02:46:00,1,45.6,220,0,0,15,13,CLEAN,0.114,65617
2026-08-16T02:47:00,1,63.6,220,0,0,15,13,CLEAN,0.114,65724
2026-08-16T02:48:00,1,47.9,220,0,0,15,13,CLEAN,0.114,65827
2026-08-16T02:49:00,1,40.4,220,0,0,15,13,CLEAN,0.114,65936
2026-08-16T02:50:01,1,60.3,220,0,0,15,13,CLEAN,0.114,66038
2026-08-16T02:51:01,1,60.9,220,0,0,15,13,CLEAN,0.114,66146
2026-08-16T02:52:01,1,45.2,220,0,0,15,13,CLEAN,0.114,66243
2026-08-16T02:53:01,1,41.5,221,0,0,15,13,CLEAN,0.114,66344
2026-08-16T02:54:02,1,60.8,221,0,0,15,13,CLEAN,0.114,66446
2026-08-16T02:55:02,1,60.0,221,0,0,15,13,CLEAN,0.113,66555
2026-08-16T02:56:02,1,35.1,221,0,0,15,13,CLEAN,0.113,66657
2026-08-16T02:57:03,1,57.2,221,0,0,15,13,CLEAN,0.113,66763
2026-08-16T02:58:03,1,70.7,221,0,0,15,13,CLEAN,0.113,66870
2026-08-16T02:59:03,1,61.6,221,0,0,15,13,CLEAN,0.113,66958
2026-08-16T03:00:03,1,61.6,221,2,2,15,13,CLEAN,0.113,67013
2026-08-16T03:01:04,1,61.3,221,0,0,15,13,CLEAN,0.113,67110
2026-08-16T03:02:04,1,57.1,221,0,0,15,13,CLEAN,0.113,67217
2026-08-16T03:03:04,1,35.9,221,1,1,15,13,CLEAN,0.113,67325
2026-08-16T03:04:05,1,36.3,221,1,1,15,13,CLEAN,0.113,67423
2026-08-16T03:05:05,1,58.1,221,0,0,15,13,CLEAN,0.112,67511
2026-08-16T03:06:05,1,68.3,221,0,0,15,13,CLEAN,0.112,67620
2026-08-16T03:07:05,1,29.4,221,0,0,15,13,CLEAN,0.112,67726
2026-08-16T03:08:06,1,53.9,221,0,0,15,13,CLEAN,0.112,67828
2026-08-16T03:09:06,1,68.7,222,0,0,15,13,CLEAN,0.112,67938
2026-08-16T03:10:06,1,32.2,222,0,0,15,13,CLEAN,0.112,68039
2026-08-16T03:11:06,1,49.1,222,0,0,15,13,CLEAN,0.112,68148
2026-08-16T03:12:07,1,57.4,222,0,0,15,13,CLEAN,0.112,68245
2026-08-16T03:13:07,1,70.9,222,1,1,15,13,CLEAN,0.112,68345
2026-08-16T03:14:07,1,28.9,222,0,0,15,13,CLEAN,0.112,68446
2026-08-16T03:15:08,1,52.4,222,0,0,15,13,CLEAN,0.111,68553
2026-08-16T03:16:08,1,68.0,222,0,0,15,13,CLEAN,0.111,68660
2026-08-16T03:17:08,1,34.1,222,0,0,15,13,CLEAN,0.111,68761
2026-08-16T03:18:08,1,47.2,222,0,0,15,13,CLEAN,0.111,68870
2026-08-16T03:19:09,1,30.0,222,0,0,15,13,CLEAN,0.111,68958
2026-08-16T03:20:09,1,49.7,223,1,1,15,13,CLEAN,0.111,69062
2026-08-16T03:21:09,1,66.2,223,0,0,15,13,CLEAN,0.111,69164
2026-08-16T03:22:10,1,40.6,223,1,1,15,13,CLEAN,0.111,69274
2026-08-16T03:23:10,1,44.3,223,0,0,15,13,CLEAN,0.111,69373
2026-08-16T03:24:10,1,62.5,223,0,0,15,13,CLEAN,0.111,69480
2026-08-16T03:25:10,1,54.1,223,0,0,15,13,CLEAN,0.11,69582
