ts,label,atk,t0,t_enforce,mttm_ms,response,hard_timeout,leaked_frames
2026-08-16T01:53:56,modbus_illegal,192.168.2.31,1786841634.453516,1786841634.461012,7.50,ISOLATE_or_BLOCK,30,0
2026-08-16T01:54:02,modbus_scan,192.168.2.31,1786841641.028193,1786841641.043301,15.11,ISOLATE_or_BLOCK,30,0
2026-08-16T01:54:17,unauth_write,192.168.2.66,1786841655.715691,1786841655.721808,6.12,ISOLATE_or_BLOCK,75,0
2026-08-16T01:55:39,modbus_illegal,192.168.2.31,1786841737.813884,1786841737.913719,99.83,ISOLATE_or_BLOCK,30,0
2026-08-16T01:55:46,modbus_scan,192.168.2.31,1786841744.482504,1786841744.522707,40.20,ISOLATE_or_BLOCK,30,0
2026-08-16T01:56:01,unauth_control,192.168.2.66,1786841759.208598,1786841759.216254,7.66,ISOLATE_or_BLOCK,75,0
2026-08-16T01:57:23,modbus_illegal,192.168.2.31,1786841841.261443,1786841841.268914,7.47,ISOLATE_or_BLOCK,30,0
2026-08-16T01:57:29,modbus_scan,192.168.2.31,1786841847.825913,1786841847.841110,15.20,ISOLATE_or_BLOCK,30,0
2026-08-16T01:57:44,fdi_scada,192.168.2.31,1786841862.565383,1786841862.693791,128.41,ISOLATE_or_BLOCK,75,11
2026-08-16T01:59:06,modbus_illegal,192.168.2.31,1786841944.782562,1786841944.788994,6.43,ISOLATE_or_BLOCK,30,0
2026-08-16T01:59:13,modbus_scan,192.168.2.31,1786841951.360848,1786841951.372857,12.01,ISOLATE_or_BLOCK,30,0
2026-08-16T01:59:28,fdi_high,192.168.2.31,1786841966.099221,1786841966.196562,97.34,ISOLATE_or_BLOCK,75,10
2026-08-16T02:01:02,modbus_illegal,192.168.2.31,1786842060.935830,1786842060.944423,8.59,ISOLATE_or_BLOCK,30,0
2026-08-16T02:01:09,modbus_scan,192.168.2.31,1786842067.551849,1786842067.566772,14.92,ISOLATE_or_BLOCK,30,0
2026-08-16T02:01:24,recon_connect,192.168.2.66,1786842082.276274,1786842082.284695,8.42,ISOLATE_or_BLOCK,75,0
2026-08-16T02:02:46,modbus_illegal,192.168.2.31,1786842164.344597,1786842164.354524,9.93,ISOLATE_or_BLOCK,30,0
2026-08-16T02:02:52,modbus_scan,192.168.2.31,1786842170.914301,1786842170.927221,12.92,ISOLATE_or_BLOCK,30,0
2026-08-16T02:03:07,unauth_write,192.168.2.66,1786842185.599298,1786842185.607481,8.18,ISOLATE_or_BLOCK,75,0
2026-08-16T02:04:29,modbus_illegal,192.168.2.31,1786842267.667968,1786842267.718028,50.06,ISOLATE_or_BLOCK,30,0
2026-08-16T02:04:36,modbus_scan,192.168.2.31,1786842274.296520,1786842274.307141,10.62,ISOLATE_or_BLOCK,30,0
2026-08-16T02:04:51,unauth_control,192.168.2.66,1786842289.005021,1786842289.012830,7.81,ISOLATE_or_BLOCK,75,0
2026-08-16T02:06:12,modbus_illegal,192.168.2.31,1786842371.024774,1786842371.030651,5.88,ISOLATE_or_BLOCK,30,0
2026-08-16T02:06:19,modbus_scan,192.168.2.31,1786842377.582991,1786842377.593972,10.98,ISOLATE_or_BLOCK,30,0
2026-08-16T02:06:34,fdi_scada,192.168.2.31,1786842392.297209,1786842392.395203,97.99,ISOLATE_or_BLOCK,75,10
