ts,dst,crit,response,hard_timeout_installed,cars_ms
2026-08-16T01:59:54,192.168.2.10,CRITICAL,ISOLATE,75,0.341
2026-08-16T01:59:55,192.168.3.10,HIGH,ISOLATE,60,0.248
2026-08-16T01:59:57,192.168.2.30,MEDIUM,ISOLATE,45,0.716
2026-08-16T01:59:59,192.168.2.20,LOW,ISOLATE,30,0.632
2026-08-16T02:07:00,192.168.2.10,CRITICAL,ISOLATE,75,0.394
2026-08-16T02:07:01,192.168.3.10,HIGH,ISOLATE,60,0.34
2026-08-16T02:07:03,192.168.2.30,MEDIUM,ISOLATE,45,0.511
2026-08-16T02:07:05,192.168.2.20,LOW,ISOLATE,30,0.421
2026-08-16T02:14:41,192.168.2.10,CRITICAL,ISOLATE,75,0.448
2026-08-16T02:14:43,192.168.3.10,HIGH,ISOLATE,60,0.428
2026-08-16T02:14:45,192.168.2.30,MEDIUM,ISOLATE,45,0.621
2026-08-16T02:14:46,192.168.2.20,LOW,ISOLATE,30,0.614
2026-08-16T02:21:48,192.168.2.10,CRITICAL,ISOLATE,75,0.387
2026-08-16T02:21:49,192.168.3.10,HIGH,ISOLATE,60,0.159
2026-08-16T02:21:51,192.168.2.30,MEDIUM,ISOLATE,45,0.658
2026-08-16T02:21:53,192.168.2.20,LOW,ISOLATE,30,0.535
2026-08-16T02:28:54,192.168.2.10,CRITICAL,ISOLATE,75,0.528
2026-08-16T02:28:56,192.168.3.10,HIGH,ISOLATE,60,0.229
2026-08-16T02:28:58,192.168.2.30,MEDIUM,ISOLATE,45,0.34
2026-08-16T02:28:59,192.168.2.20,LOW,ISOLATE,30,0.424
2026-08-16T02:36:36,192.168.2.10,CRITICAL,ISOLATE,75,0.568
2026-08-16T02:36:38,192.168.3.10,HIGH,ISOLATE,60,0.497
2026-08-16T02:36:39,192.168.2.30,MEDIUM,ISOLATE,45,0.394
2026-08-16T02:36:41,192.168.2.20,LOW,ISOLATE,30,0.267
2026-08-16T02:43:43,192.168.2.10,CRITICAL,ISOLATE,75,0.508
2026-08-16T02:43:44,192.168.3.10,HIGH,ISOLATE,60,0.687
2026-08-16T02:43:46,192.168.2.30,MEDIUM,ISOLATE,45,0.14
2026-08-16T02:43:47,192.168.2.20,LOW,ISOLATE,30,0.61
2026-08-16T02:51:24,192.168.2.10,CRITICAL,ISOLATE,75,0.323
2026-08-16T02:51:26,192.168.3.10,HIGH,ISOLATE,60,0.168
2026-08-16T02:51:28,192.168.2.30,MEDIUM,ISOLATE,45,0.61
2026-08-16T02:51:29,192.168.2.20,LOW,ISOLATE,30,0.67
2026-08-16T02:58:31,192.168.2.10,CRITICAL,ISOLATE,75,0.535
2026-08-16T02:58:33,192.168.3.10,HIGH,ISOLATE,60,0.163
2026-08-16T02:58:34,192.168.2.30,MEDIUM,ISOLATE,45,0.157
2026-08-16T02:58:36,192.168.2.20,LOW,ISOLATE,30,0.634
2026-08-16T03:03:32,192.168.2.10,CRITICAL,ISOLATE,75,0.418
2026-08-16T03:03:33,192.168.3.10,HIGH,ISOLATE,60,0.475
2026-08-16T03:03:35,192.168.2.30,MEDIUM,ISOLATE,45,0.36
2026-08-16T03:03:37,192.168.2.20,LOW,ISOLATE,30,0.209
2026-08-16T03:11:13,192.168.2.10,CRITICAL,ISOLATE,75,0.146
2026-08-16T03:11:15,192.168.3.10,HIGH,ISOLATE,60,0.671
2026-08-16T03:11:17,192.168.2.30,MEDIUM,ISOLATE,45,0.591
2026-08-16T03:11:18,192.168.2.20,LOW,ISOLATE,30,0.55
2026-08-16T03:18:20,192.168.2.10,CRITICAL,ISOLATE,75,0.156
2026-08-16T03:18:22,192.168.3.10,HIGH,ISOLATE,60,0.655
2026-08-16T03:18:23,192.168.2.30,MEDIUM,ISOLATE,45,0.66
2026-08-16T03:18:25,192.168.2.20,LOW,ISOLATE,30,0.391
2026-08-16T03:26:02,192.168.2.10,CRITICAL,ISOLATE,75,0.665
2026-08-16T03:26:03,192.168.3.10,HIGH,ISOLATE,60,0.58
2026-08-16T03:26:05,192.168.2.30,MEDIUM,ISOLATE,45,0.743
2026-08-16T03:26:06,192.168.2.20,LOW,ISOLATE,30,0.189
