ts,probe,detail,outcome
2026-08-16T00:29:26,segmentation,atk_to_192.168.2.20,segmented_ok
2026-08-16T00:29:26,segmentation,atk_to_192.168.3.10,segmented_ok
2026-08-16T00:29:30,guard_antispoof,drops_before=188 after=203,SPOOF_DROPPED
2026-08-16T00:29:30,authapi,unauth_POST_/cars/defense,HTTP_401_REFUSED
2026-08-16T00:29:30,authapi,unauth_POST_/cars/restore,HTTP_401_REFUSED
2026-08-16T00:29:30,authapi,unauth_POST_/cars/reload,HTTP_401_REFUSED
2026-08-16T00:29:30,authapi,armstate_after_unauth,ARMED
2026-08-16T00:36:33,segmentation,atk_to_192.168.2.20,segmented_ok
2026-08-16T00:36:33,segmentation,atk_to_192.168.3.10,segmented_ok
2026-08-16T00:36:36,guard_antispoof,drops_before=203 after=218,SPOOF_DROPPED
2026-08-16T00:36:36,authapi,unauth_POST_/cars/defense,HTTP_401_REFUSED
2026-08-16T00:36:36,authapi,unauth_POST_/cars/restore,HTTP_401_REFUSED
2026-08-16T00:36:36,authapi,unauth_POST_/cars/reload,HTTP_401_REFUSED
2026-08-16T00:36:36,authapi,armstate_after_unauth,ARMED
2026-08-16T00:43:11,segmentation,atk_to_192.168.2.20,segmented_ok
2026-08-16T00:43:11,segmentation,atk_to_192.168.3.10,segmented_ok
2026-08-16T00:43:15,guard_antispoof,drops_before=218 after=229,SPOOF_DROPPED
2026-08-16T00:43:15,authapi,unauth_POST_/cars/defense,HTTP_401_REFUSED
2026-08-16T00:43:15,authapi,unauth_POST_/cars/restore,HTTP_401_REFUSED
2026-08-16T00:43:15,authapi,unauth_POST_/cars/reload,HTTP_401_REFUSED
2026-08-16T00:43:15,authapi,armstate_after_unauth,ARMED
2026-08-16T00:50:17,segmentation,atk_to_192.168.2.20,segmented_ok
2026-08-16T00:50:17,segmentation,atk_to_192.168.3.10,segmented_ok
2026-08-16T00:50:21,guard_antispoof,drops_before=233 after=244,SPOOF_DROPPED
