ts,response_tested,src,dst,verdict,rule
2026-08-16T00:29:18,ALLOW,192.168.2.31,192.168.2.10,ALLOW OPERATIONAL,none
2026-08-16T00:29:19,REFUSE,192.168.2.9,192.168.2.10,REFUSE CRITICAL,none
2026-08-16T00:29:19,THROTTLE,192.168.2.31,192.168.2.20,THROTTLE SENSITIVE,meter:1
2026-08-16T00:29:19,DEFLECT,192.168.2.66,192.168.2.10,DEFLECT FORBIDDEN,priority=105
2026-08-16T00:36:25,ALLOW,192.168.2.31,192.168.2.10,ALLOW OPERATIONAL,none
2026-08-16T00:36:25,REFUSE,192.168.2.9,192.168.2.10,REFUSE CRITICAL,none
2026-08-16T00:36:25,THROTTLE,192.168.2.31,192.168.2.20,THROTTLE SENSITIVE,meter:1
2026-08-16T00:36:25,DEFLECT,192.168.2.66,192.168.2.10,DEFLECT FORBIDDEN,priority=105
2026-08-16T00:43:03,ALLOW,192.168.2.31,192.168.2.10,ALLOW OPERATIONAL,none
2026-08-16T00:43:03,REFUSE,192.168.2.9,192.168.2.10,REFUSE CRITICAL,none
2026-08-16T00:43:03,THROTTLE,192.168.2.31,192.168.2.20,THROTTLE SENSITIVE,meter:1
2026-08-16T00:43:03,DEFLECT,192.168.2.66,192.168.2.10,DEFLECT FORBIDDEN,priority=105
2026-08-16T00:50:10,ALLOW,192.168.2.31,192.168.2.10,ALLOW OPERATIONAL,none
2026-08-16T00:50:10,REFUSE,192.168.2.9,192.168.2.10,REFUSE CRITICAL,none
2026-08-16T00:50:10,THROTTLE,192.168.2.31,192.168.2.20,THROTTLE SENSITIVE,meter:1
2026-08-16T00:50:10,DEFLECT,192.168.2.66,192.168.2.10,DEFLECT FORBIDDEN,priority=105
2026-08-16T00:57:16,ALLOW,192.168.2.31,192.168.2.10,ALLOW OPERATIONAL,none
2026-08-16T00:57:16,REFUSE,192.168.2.9,192.168.2.10,REFUSE CRITICAL,none
2026-08-16T00:57:16,THROTTLE,192.168.2.31,192.168.2.20,THROTTLE SENSITIVE,meter:1
2026-08-16T00:57:16,DEFLECT,192.168.2.66,192.168.2.10,DEFLECT FORBIDDEN,priority=105
2026-08-16T01:04:58,ALLOW,192.168.2.31,192.168.2.10,ALLOW OPERATIONAL,none
2026-08-16T01:04:58,REFUSE,192.168.2.9,192.168.2.10,REFUSE CRITICAL,none
2026-08-16T01:04:58,THROTTLE,192.168.2.31,192.168.2.20,THROTTLE SENSITIVE,meter:1
2026-08-16T01:04:58,DEFLECT,192.168.2.66,192.168.2.10,DEFLECT FORBIDDEN,priority=105
2026-08-16T01:12:05,ALLOW,192.168.2.31,192.168.2.10,ALLOW OPERATIONAL,none
2026-08-16T01:12:05,REFUSE,192.168.2.9,192.168.2.10,REFUSE CRITICAL,none
2026-08-16T01:12:05,THROTTLE,192.168.2.31,192.168.2.20,THROTTLE SENSITIVE,meter:1
2026-08-16T01:12:05,DEFLECT,192.168.2.66,192.168.2.10,DEFLECT FORBIDDEN,priority=105
2026-08-16T01:19:46,ALLOW,192.168.2.31,192.168.2.10,ALLOW OPERATIONAL,none
2026-08-16T01:19:46,REFUSE,192.168.2.9,192.168.2.10,REFUSE CRITICAL,none
2026-08-16T01:19:46,THROTTLE,192.168.2.31,192.168.2.20,THROTTLE SENSITIVE,meter:1
2026-08-16T01:19:46,DEFLECT,192.168.2.66,192.168.2.10,DEFLECT FORBIDDEN,priority=105
2026-08-16T01:25:50,ALLOW,192.168.2.31,192.168.2.10,ALLOW OPERATIONAL,none
2026-08-16T01:25:50,REFUSE,192.168.2.9,192.168.2.10,REFUSE CRITICAL,none
2026-08-16T01:25:50,THROTTLE,192.168.2.31,192.168.2.20,THROTTLE SENSITIVE,meter:1
2026-08-16T01:25:50,DEFLECT,192.168.2.66,192.168.2.10,DEFLECT FORBIDDEN,priority=105
2026-08-16T01:32:56,ALLOW,192.168.2.31,192.168.2.10,ALLOW OPERATIONAL,none
2026-08-16T01:32:56,REFUSE,192.168.2.9,192.168.2.10,REFUSE CRITICAL,none
2026-08-16T01:32:56,THROTTLE,192.168.2.31,192.168.2.20,THROTTLE SENSITIVE,meter:1
2026-08-16T01:32:56,DEFLECT,192.168.2.66,192.168.2.10,DEFLECT FORBIDDEN,priority=105
2026-08-16T01:40:38,ALLOW,192.168.2.31,192.168.2.10,ALLOW OPERATIONAL,none
2026-08-16T01:40:38,REFUSE,192.168.2.9,192.168.2.10,REFUSE CRITICAL,none
2026-08-16T01:40:38,THROTTLE,192.168.2.31,192.168.2.20,THROTTLE SENSITIVE,meter:1
2026-08-16T01:40:38,DEFLECT,192.168.2.66,192.168.2.10,DEFLECT FORBIDDEN,priority=105
