ts,online,level,restores,ca_ovs1,ca_ovsgw,a2_ovs1,a2_ovsgw,flowaudit,cars_ms_avg,cars_ms_n
2026-08-16T00:23:11,1,44.5,204,0,0,15,13,CLEAN,0.135,51096
2026-08-16T00:24:11,1,62.9,204,0,0,15,13,CLEAN,0.134,51201
2026-08-16T00:25:12,1,50.7,204,0,0,15,13,CLEAN,0.134,51307
2026-08-16T00:26:12,1,39.3,204,0,0,15,13,CLEAN,0.134,51408
2026-08-16T00:27:12,1,59.4,205,0,0,15,13,CLEAN,0.134,51519
2026-08-16T00:28:13,1,65.6,205,0,0,15,13,CLEAN,0.134,51622
2026-08-16T00:29:13,1,32.4,205,0,0,15,13,CLEAN,0.134,51729
2026-08-16T00:30:13,1,36.3,205,0,0,15,13,CLEAN,0.133,51826
2026-08-16T00:31:13,1,57.5,205,0,0,15,13,CLEAN,0.133,51926
2026-08-16T00:32:14,1,71.1,205,0,0,15,13,CLEAN,0.133,52029
2026-08-16T00:33:14,1,28.9,205,0,0,15,13,CLEAN,0.133,52134
2026-08-16T00:34:14,1,53.4,205,0,0,15,13,CLEAN,0.133,52242
2026-08-16T00:35:15,1,68.1,205,0,0,15,13,CLEAN,0.132,52342
2026-08-16T00:36:15,1,33.7,205,0,0,15,13,CLEAN,0.132,52451
2026-08-16T00:37:15,1,54.0,205,0,0,15,13,CLEAN,0.132,52526
2026-08-16T00:38:15,1,34.9,205,0,0,15,13,CLEAN,0.132,52602
2026-08-16T00:39:16,1,46.9,205,1,1,15,13,CLEAN,0.132,52710
2026-08-16T00:40:16,1,64.4,205,0,0,15,13,CLEAN,0.132,52812
2026-08-16T00:41:16,1,47.9,205,0,0,15,13,CLEAN,0.132,52918
2026-08-16T00:42:16,1,40.0,205,0,0,15,13,CLEAN,0.131,53021
2026-08-16T00:43:17,1,54.5,205,0,0,15,13,CLEAN,0.131,53131
2026-08-16T00:44:17,1,62.7,205,0,0,15,13,CLEAN,0.131,53218
2026-08-16T00:45:17,1,53.2,206,0,0,15,13,CLEAN,0.131,53324
2026-08-16T00:46:18,1,32.6,206,0,0,15,13,CLEAN,0.131,53432
2026-08-16T00:47:18,1,54.0,206,0,0,15,13,CLEAN,0.131,53533
2026-08-16T00:48:18,1,68.8,206,0,0,15,13,CLEAN,0.13,53640
2026-08-16T00:49:18,1,31.3,206,0,0,15,13,CLEAN,0.13,53743
2026-08-16T00:50:19,1,48.2,206,2,2,15,13,CLEAN,0.13,53861
2026-08-16T00:51:19,1,31.4,206,0,0,15,13,CLEAN,0.13,53935
2026-08-16T00:52:19,1,54.8,206,0,0,15,13,CLEAN,0.13,54034
2026-08-16T00:53:19,1,69.2,206,0,0,15,13,CLEAN,0.13,54139
2026-08-16T00:54:20,1,30.5,207,0,0,15,13,CLEAN,0.129,54243
2026-08-16T00:55:20,1,49.7,207,0,0,15,13,CLEAN,0.129,54354
2026-08-16T00:56:20,1,66.1,207,0,0,15,13,CLEAN,0.129,54455
2026-08-16T00:57:21,1,40.6,207,1,1,15,13,CLEAN,0.129,54568
2026-08-16T00:58:21,1,52.6,207,0,0,15,13,CLEAN,0.129,54652
2026-08-16T00:59:21,1,38.0,207,0,0,15,13,CLEAN,0.129,54755
2026-08-16T01:00:22,1,58.7,207,0,0,15,13,CLEAN,0.129,54856
2026-08-16T01:01:22,1,66.0,207,0,0,15,13,CLEAN,0.128,54963
2026-08-16T01:02:22,1,31.6,207,0,0,15,13,CLEAN,0.128,55064
2026-08-16T01:03:22,1,54.9,207,0,0,15,13,CLEAN,0.128,55173
2026-08-16T01:04:23,1,69.2,207,0,0,15,13,CLEAN,0.128,55278
2026-08-16T01:05:23,1,67.2,207,0,0,15,13,CLEAN,0.128,55382
2026-08-16T01:06:23,1,32.5,207,0,0,15,13,CLEAN,0.128,55476
2026-08-16T01:07:23,1,49.3,207,0,0,15,13,CLEAN,0.127,55579
2026-08-16T01:08:24,1,65.5,207,0,0,15,13,CLEAN,0.127,55686
2026-08-16T01:09:24,1,42.0,207,0,0,15,13,CLEAN,0.127,55787
2026-08-16T01:10:24,1,43.5,207,0,0,15,13,CLEAN,0.127,55896
2026-08-16T01:11:24,1,61.9,207,0,0,15,13,CLEAN,0.127,56003
2026-08-16T01:12:25,1,64.6,207,0,0,15,13,CLEAN,0.127,56107
2026-08-16T01:13:25,1,48.9,207,0,0,15,13,CLEAN,0.127,56197
2026-08-16T01:14:25,1,41.1,207,0,0,15,13,CLEAN,0.126,56300
2026-08-16T01:15:26,1,60.2,207,0,0,15,13,CLEAN,0.126,56406
2026-08-16T01:16:26,1,60.7,207,0,0,15,13,CLEAN,0.126,56511
2026-08-16T01:17:26,1,34.1,207,0,0,15,13,CLEAN,0.126,56617
2026-08-16T01:18:26,1,56.0,207,0,0,15,13,CLEAN,0.126,56720
2026-08-16T01:19:27,1,69.9,207,0,0,15,13,CLEAN,0.126,56825
2026-08-16T01:20:27,1,50.3,207,0,0,15,13,CLEAN,0.125,56910
2026-08-16T01:21:27,1,30.8,207,1,1,15,13,CLEAN,0.125,56987
2026-08-16T01:22:28,1,49.3,207,0,0,15,13,CLEAN,0.125,57095
2026-08-16T01:23:28,1,65.7,207,0,0,15,13,CLEAN,0.125,57202
2026-08-16T01:24:28,1,41.4,207,0,0,15,13,CLEAN,0.125,57303
2026-08-16T01:25:28,1,43.8,207,0,0,15,13,CLEAN,0.125,57412
2026-08-16T01:26:29,1,37.9,207,0,0,15,13,CLEAN,0.125,57505
2026-08-16T01:27:29,1,58.8,207,1,1,15,13,CLEAN,0.125,57603
2026-08-16T01:28:29,1,66.9,207,0,0,15,13,CLEAN,0.124,57705
2026-08-16T01:29:29,1,31.5,208,0,0,15,13,CLEAN,0.124,57814
2026-08-16T01:30:30,1,54.4,208,0,0,15,13,CLEAN,0.124,57918
2026-08-16T01:31:30,1,68.8,208,0,0,15,13,CLEAN,0.124,58026
2026-08-16T01:32:30,1,31.1,208,0,0,15,13,CLEAN,0.124,58133
2026-08-16T01:33:30,1,32.1,208,1,1,15,13,CLEAN,0.124,58233
2026-08-16T01:34:31,1,48.4,208,0,0,15,13,CLEAN,0.124,58324
2026-08-16T01:35:31,1,65.1,208,0,0,15,13,CLEAN,0.123,58429
2026-08-16T01:36:31,1,44.0,208,0,0,15,13,CLEAN,0.123,58537
2026-08-16T01:37:32,1,42.6,208,0,0,15,13,CLEAN,0.123,58638
2026-08-16T01:38:32,1,61.5,208,0,0,15,13,CLEAN,0.123,58748
2026-08-16T01:39:32,1,58.3,208,0,0,15,13,CLEAN,0.123,58847
2026-08-16T01:40:32,1,34.7,208,0,0,15,13,CLEAN,0.123,58958
2026-08-16T01:41:33,1,56.7,208,0,0,15,13,CLEAN,0.123,59028
2026-08-16T01:42:33,1,53.3,208,1,1,15,13,CLEAN,0.122,59109
2026-08-16T01:43:33,1,68.4,208,0,0,15,13,CLEAN,0.122,59211
2026-08-16T01:44:33,1,33.3,208,0,0,15,13,CLEAN,0.122,59313
2026-08-16T01:45:34,1,48.2,208,0,0,15,13,CLEAN,0.122,59415
2026-08-16T01:46:34,1,65.1,208,0,0,15,13,CLEAN,0.122,59515
2026-08-16T01:47:34,1,44.9,208,0,0,15,13,CLEAN,0.122,59617
2026-08-16T01:48:34,1,42.6,208,0,0,15,13,CLEAN,0.121,59719
2026-08-16T01:49:35,1,61.5,208,0,0,15,13,CLEAN,0.121,59818
2026-08-16T01:50:35,1,57.5,208,0,0,15,13,CLEAN,0.121,59921
2026-08-16T01:51:35,1,36.1,208,0,0,15,13,CLEAN,0.121,60022
2026-08-16T01:52:36,1,57.6,208,0,0,15,13,CLEAN,0.121,60122
