ts,label,atk,t0,t_enforce,mttm_ms,response,hard_timeout,leaked_frames
2026-08-16T00:23:22,modbus_illegal,192.168.2.31,1786836200.161875,1786836200.168681,6.81,ISOLATE_or_BLOCK,30,0
2026-08-16T00:23:28,modbus_scan,192.168.2.31,1786836206.738856,1786836206.747459,8.60,ISOLATE_or_BLOCK,30,0
2026-08-16T00:23:43,unauth_write,192.168.2.66,1786836221.436638,1786836221.444994,8.36,ISOLATE_or_BLOCK,75,0
2026-08-16T00:25:05,modbus_illegal,192.168.2.31,1786836303.526484,1786836303.535247,8.76,ISOLATE_or_BLOCK,30,0
2026-08-16T00:25:12,modbus_scan,192.168.2.31,1786836310.097936,1786836310.110230,12.29,ISOLATE_or_BLOCK,30,0
2026-08-16T00:25:26,unauth_control,192.168.2.66,1786836324.809395,1786836324.816708,7.31,ISOLATE_or_BLOCK,75,0
2026-08-16T00:26:48,modbus_illegal,192.168.2.31,1786836406.882740,1786836406.911765,29.03,ISOLATE_or_BLOCK,30,0
2026-08-16T00:26:55,modbus_scan,192.168.2.31,1786836413.495688,1786836413.511064,15.38,ISOLATE_or_BLOCK,30,0
2026-08-16T00:27:10,fdi_scada,192.168.2.31,1786836428.194727,1786836428.306636,111.91,ISOLATE_or_BLOCK,75,10
2026-08-16T00:28:32,modbus_illegal,192.168.2.31,1786836510.430610,1786836510.457758,27.15,ISOLATE_or_BLOCK,30,0
2026-08-16T00:28:38,modbus_scan,192.168.2.31,1786836517.045571,1786836517.057705,12.13,ISOLATE_or_BLOCK,30,0
2026-08-16T00:28:53,fdi_high,192.168.2.31,1786836531.735666,1786836531.837124,101.46,ISOLATE_or_BLOCK,75,10
2026-08-16T00:30:28,modbus_illegal,192.168.2.31,1786836626.647650,1786836626.656896,9.25,ISOLATE_or_BLOCK,30,0
2026-08-16T00:30:35,modbus_scan,192.168.2.31,1786836633.244931,1786836633.252579,7.65,ISOLATE_or_BLOCK,30,0
2026-08-16T00:30:49,recon_connect,192.168.2.66,1786836647.932910,1786836647.941204,8.29,ISOLATE_or_BLOCK,75,0
2026-08-16T00:32:11,modbus_illegal,192.168.2.31,1786836730.017182,1786836730.025569,8.39,ISOLATE_or_BLOCK,30,0
2026-08-16T00:32:18,modbus_scan,192.168.2.31,1786836736.568019,1786836736.581637,13.62,ISOLATE_or_BLOCK,30,0
2026-08-16T00:32:33,unauth_write,192.168.2.66,1786836751.278162,1786836751.313172,35.01,ISOLATE_or_BLOCK,75,0
2026-08-16T00:33:55,modbus_illegal,192.168.2.31,1786836833.399070,1786836833.407342,8.27,ISOLATE_or_BLOCK,30,0
2026-08-16T00:34:01,modbus_scan,192.168.2.31,1786836839.972305,1786836839.981571,9.27,ISOLATE_or_BLOCK,30,0
2026-08-16T00:34:16,unauth_control,192.168.2.66,1786836854.685405,1786836854.693583,8.18,ISOLATE_or_BLOCK,75,0
2026-08-16T00:35:38,modbus_illegal,192.168.2.31,1786836936.759552,1786836936.769345,9.79,ISOLATE_or_BLOCK,30,0
2026-08-16T00:35:45,modbus_scan,192.168.2.31,1786836943.357955,1786836943.365916,7.96,ISOLATE_or_BLOCK,30,0
2026-08-16T00:36:00,fdi_scada,192.168.2.31,1786836958.032976,1786836958.132102,99.13,ISOLATE_or_BLOCK,75,11
2026-08-16T00:38:15,modbus_illegal,192.168.2.31,1786837093.339590,1786837093.345497,5.91,ISOLATE_or_BLOCK,30,0
2026-08-16T00:38:21,modbus_scan,192.168.2.31,1786837099.908269,1786837099.919186,10.92,ISOLATE_or_BLOCK,30,0
2026-08-16T00:38:36,recon_connect,192.168.2.66,1786837114.624029,1786837114.631615,7.59,ISOLATE_or_BLOCK,75,0
2026-08-16T00:40:33,modbus_illegal,192.168.2.31,1786837231.827617,1786837231.910699,83.08,ISOLATE_or_BLOCK,30,0
2026-08-16T00:40:40,modbus_scan,192.168.2.31,1786837238.480904,1786837238.520643,39.74,ISOLATE_or_BLOCK,30,0
2026-08-16T00:40:55,unauth_write,192.168.2.66,1786837253.226315,1786837253.234017,7.70,ISOLATE_or_BLOCK,75,0
