ts,dst,crit,response,hard_timeout_installed,cars_ms
2026-08-16T00:29:19,192.168.2.10,CRITICAL,ISOLATE,75,0.653
2026-08-16T00:29:21,192.168.3.10,HIGH,ISOLATE,60,0.385
2026-08-16T00:29:23,192.168.2.30,MEDIUM,ISOLATE,45,0.735
2026-08-16T00:29:24,192.168.2.20,LOW,ISOLATE,30,0.174
2026-08-16T00:36:26,192.168.2.10,CRITICAL,ISOLATE,75,0.318
2026-08-16T00:36:27,192.168.3.10,HIGH,ISOLATE,60,0.7
2026-08-16T00:36:29,192.168.2.30,MEDIUM,ISOLATE,45,0.832
2026-08-16T00:36:31,192.168.2.20,LOW,ISOLATE,30,0.394
2026-08-16T00:43:04,192.168.2.10,CRITICAL,ISOLATE,75,0.4
2026-08-16T00:43:06,192.168.3.10,HIGH,ISOLATE,60,0.66
2026-08-16T00:43:07,192.168.2.30,MEDIUM,ISOLATE,45,0.189
2026-08-16T00:43:09,192.168.2.20,LOW,ISOLATE,30,0.718
2026-08-16T00:50:10,192.168.2.10,CRITICAL,ISOLATE,75,0.36
2026-08-16T00:50:12,192.168.3.10,HIGH,ISOLATE,60,0.755
2026-08-16T00:50:14,192.168.2.30,MEDIUM,ISOLATE,45,0.425
2026-08-16T00:50:15,192.168.2.20,LOW,ISOLATE,30,0.763
2026-08-16T00:57:17,192.168.2.10,CRITICAL,ISOLATE,75,0.616
2026-08-16T00:57:18,192.168.3.10,HIGH,ISOLATE,60,0.164
2026-08-16T00:57:20,192.168.2.30,MEDIUM,ISOLATE,45,0.703
2026-08-16T00:57:22,192.168.2.20,LOW,ISOLATE,30,0.167
2026-08-16T01:04:59,192.168.2.10,CRITICAL,ISOLATE,75,0.31
2026-08-16T01:05:00,192.168.3.10,HIGH,ISOLATE,60,0.159
2026-08-16T01:05:02,192.168.2.30,MEDIUM,ISOLATE,45,0.619
2026-08-16T01:05:03,192.168.2.20,LOW,ISOLATE,30,0.138
2026-08-16T01:12:05,192.168.2.10,CRITICAL,ISOLATE,75,0.448
2026-08-16T01:12:07,192.168.3.10,HIGH,ISOLATE,60,0.373
2026-08-16T01:12:09,192.168.2.30,MEDIUM,ISOLATE,45,0.166
2026-08-16T01:12:10,192.168.2.20,LOW,ISOLATE,30,0.552
2026-08-16T01:19:46,192.168.2.10,CRITICAL,ISOLATE,75,0.337
2026-08-16T01:19:48,192.168.3.10,HIGH,ISOLATE,60,0.159
2026-08-16T01:19:50,192.168.2.30,MEDIUM,ISOLATE,45,0.495
2026-08-16T01:19:51,192.168.2.20,LOW,ISOLATE,30,0.17
2026-08-16T01:25:50,192.168.2.10,CRITICAL,ISOLATE,75,0.39
2026-08-16T01:25:52,192.168.3.10,HIGH,ISOLATE,60,0.62
2026-08-16T01:25:54,192.168.2.30,MEDIUM,ISOLATE,45,0.71
2026-08-16T01:25:55,192.168.2.20,LOW,ISOLATE,30,0.697
2026-08-16T01:32:57,192.168.2.10,CRITICAL,ISOLATE,75,0.674
2026-08-16T01:32:58,192.168.3.10,HIGH,ISOLATE,60,0.663
2026-08-16T01:33:00,192.168.2.30,MEDIUM,ISOLATE,45,0.61
2026-08-16T01:33:02,192.168.2.20,LOW,ISOLATE,30,0.538
2026-08-16T01:40:38,192.168.2.10,CRITICAL,ISOLATE,75,0.354
2026-08-16T01:40:40,192.168.3.10,HIGH,ISOLATE,60,0.204
2026-08-16T01:40:42,192.168.2.30,MEDIUM,ISOLATE,45,0.378
2026-08-16T01:40:43,192.168.2.20,LOW,ISOLATE,30,0.493
