ts,online,level,restores,ca_ovs1,ca_ovsgw,a2_ovs1,a2_ovsgw,flowaudit,cars_ms_avg,cars_ms_n
2026-08-15T23:33:00,1,66.7,81,0,0,15,13,CLEAN,0.145,46169
2026-08-15T23:34:00,1,41.2,81,1,1,15,13,CLEAN,0.145,46253
2026-08-15T23:35:00,1,60.8,82,0,0,15,13,CLEAN,0.145,46366
2026-08-15T23:36:00,1,59.2,82,0,0,15,13,CLEAN,0.145,46473
2026-08-15T23:37:01,1,34.2,82,0,0,15,13,CLEAN,0.144,46581
2026-08-15T23:38:01,1,56.5,83,1,1,15,13,CLEAN,0.144,46704
2026-08-15T23:39:01,1,56.0,83,0,0,15,13,CLEAN,0.144,46781
2026-08-15T23:40:02,1,69.8,85,0,0,15,13,CLEAN,0.144,46895
2026-08-15T23:41:02,1,28.5,85,0,0,15,13,CLEAN,0.144,46998
2026-08-15T23:42:02,1,50.2,86,0,0,15,13,CLEAN,0.143,47110
2026-08-15T23:43:02,1,66.7,86,1,1,15,13,CLEAN,0.143,47223
2026-08-15T23:44:03,1,39.3,86,0,0,15,13,CLEAN,0.143,47326
2026-08-15T23:45:03,1,45.0,87,1,1,15,13,CLEAN,0.143,47449
2026-08-15T23:46:03,1,47.5,87,0,0,15,13,CLEAN,0.143,47505
2026-08-15T23:47:03,1,47.5,87,1,1,15,13,CLEAN,0.143,47561
2026-08-15T23:48:04,1,47.5,87,0,0,15,13,CLEAN,0.142,47623
2026-08-15T23:49:04,1,69.3,87,0,0,15,13,CLEAN,0.142,47700
2026-08-15T23:50:04,1,29.9,87,0,0,15,13,CLEAN,0.142,47801
2026-08-15T23:51:04,1,50.1,87,0,0,15,13,CLEAN,0.142,47902
2026-08-15T23:52:05,1,66.3,87,0,0,15,13,CLEAN,0.141,48002
2026-08-15T23:53:05,1,40.9,87,0,0,15,13,CLEAN,0.141,48102
2026-08-15T23:54:05,1,43.8,87,0,0,15,13,CLEAN,0.141,48204
2026-08-15T23:55:05,1,62.2,87,0,0,15,13,CLEAN,0.141,48304
2026-08-15T23:56:06,1,54.4,87,0,0,15,13,CLEAN,0.141,48406
2026-08-15T23:57:06,1,36.8,87,0,0,15,13,CLEAN,0.14,48506
2026-08-15T23:58:06,1,58.1,87,0,0,15,13,CLEAN,0.14,48608
2026-08-15T23:59:07,1,71.2,87,0,0,15,13,CLEAN,0.14,48708
2026-08-16T00:00:07,1,30.3,87,0,0,15,13,CLEAN,0.14,48811
2026-08-16T00:01:07,1,53.2,87,0,0,15,13,CLEAN,0.139,48910
2026-08-16T00:02:07,1,68.4,87,0,0,15,13,CLEAN,0.139,49012
2026-08-16T00:03:08,1,32.5,87,0,0,15,13,CLEAN,0.139,49111
