ts,label,atk,t0,t_enforce,mttm_ms,response,hard_timeout,leaked_frames
2026-08-15T23:33:51,recon_connect,192.168.2.66,1786833229.058265,1786833229.067097,8.83,ISOLATE_or_BLOCK,75,0
2026-08-15T23:33:57,unauth_write,192.168.2.66,1786833235.774228,1786833235.780550,6.32,ISOLATE_or_BLOCK,75,0
2026-08-15T23:34:04,unauth_control,192.168.2.66,1786833242.488801,1786833242.515060,26.26,ISOLATE_or_BLOCK,75,0
2026-08-15T23:34:11,modbus_illegal,192.168.2.31,1786833249.172093,1786833249.180116,8.02,ISOLATE_or_BLOCK,30,0
2026-08-15T23:34:17,fdi_scada,192.168.2.31,1786833255.793523,1786833255.878561,85.04,ISOLATE_or_BLOCK,75,10
2026-08-15T23:34:24,fdi_high,192.168.2.31,1786833262.554012,1786833262.652207,98.19,ISOLATE_or_BLOCK,75,9
2026-08-15T23:34:31,modbus_scan,192.168.2.31,1786833269.315970,1786833269.330006,14.04,ISOLATE_or_BLOCK,30,0
2026-08-15T23:35:32,recon_connect,192.168.2.66,1786833330.443033,1786833330.450521,7.49,ISOLATE_or_BLOCK,75,0
2026-08-15T23:35:39,unauth_write,192.168.2.66,1786833337.153159,1786833337.160922,7.76,ISOLATE_or_BLOCK,75,0
2026-08-15T23:35:45,unauth_control,192.168.2.66,1786833343.872092,1786833343.908142,36.05,ISOLATE_or_BLOCK,75,0
2026-08-15T23:35:52,modbus_illegal,192.168.2.31,1786833350.579746,1786833350.587945,8.20,ISOLATE_or_BLOCK,30,0
2026-08-15T23:35:59,fdi_scada,192.168.2.31,1786833357.189248,1786833357.295170,105.92,ISOLATE_or_BLOCK,75,11
2026-08-15T23:36:06,fdi_high,192.168.2.31,1786833364.011126,1786833364.088558,77.43,ISOLATE_or_BLOCK,75,9
2026-08-15T23:36:12,modbus_scan,192.168.2.31,1786833370.732705,1786833370.739844,7.14,ISOLATE_or_BLOCK,30,0
2026-08-15T23:37:13,recon_connect,192.168.2.66,1786833431.751399,1786833431.759982,8.58,ISOLATE_or_BLOCK,75,0
2026-08-15T23:37:20,unauth_write,192.168.2.66,1786833438.500355,1786833438.508884,8.53,ISOLATE_or_BLOCK,75,0
2026-08-15T23:37:27,unauth_control,192.168.2.66,1786833445.199976,1786833445.207721,7.75,ISOLATE_or_BLOCK,75,0
2026-08-15T23:37:33,modbus_illegal,192.168.2.31,1786833451.873282,1786833451.909174,35.89,ISOLATE_or_BLOCK,30,0
2026-08-15T23:37:40,fdi_scada,192.168.2.31,1786833458.535857,1786833458.629221,93.36,ISOLATE_or_BLOCK,75,10
2026-08-15T23:37:47,fdi_high,192.168.2.31,1786833465.315155,1786833465.418863,103.71,ISOLATE_or_BLOCK,75,9
2026-08-15T23:37:54,modbus_scan,192.168.2.31,1786833472.087211,1786833472.100994,13.78,ISOLATE_or_BLOCK,30,0
2026-08-15T23:39:07,recon_connect,192.168.2.66,1786833545.935200,1786833545.941550,6.35,ISOLATE_or_BLOCK,75,0
2026-08-15T23:39:14,unauth_write,192.168.2.66,1786833552.649616,1786833552.658939,9.32,ISOLATE_or_BLOCK,75,0
2026-08-15T23:39:21,unauth_control,192.168.2.66,1786833559.373171,1786833559.380836,7.66,ISOLATE_or_BLOCK,75,0
2026-08-15T23:39:28,modbus_illegal,192.168.2.31,1786833566.058078,1786833566.067245,9.17,ISOLATE_or_BLOCK,30,0
2026-08-15T23:39:34,fdi_scada,192.168.2.31,1786833572.683635,1786833572.782832,99.20,ISOLATE_or_BLOCK,75,11
2026-08-15T23:39:41,fdi_high,192.168.2.31,1786833579.481132,1786833579.569858,88.73,ISOLATE_or_BLOCK,75,9
2026-08-15T23:39:48,modbus_scan,192.168.2.31,1786833586.230200,1786833586.242097,11.90,ISOLATE_or_BLOCK,30,0
2026-08-15T23:40:49,recon_connect,192.168.2.66,1786833647.270449,1786833647.276107,5.66,ISOLATE_or_BLOCK,75,0
2026-08-15T23:40:56,unauth_write,192.168.2.66,1786833653.978313,1786833653.985355,7.04,ISOLATE_or_BLOCK,75,0
2026-08-15T23:41:02,unauth_control,192.168.2.66,1786833660.695887,1786833660.703551,7.66,ISOLATE_or_BLOCK,75,0
2026-08-15T23:41:09,modbus_illegal,192.168.2.31,1786833667.367997,1786833667.375465,7.47,ISOLATE_or_BLOCK,30,0
2026-08-15T23:41:16,fdi_scada,192.168.2.31,1786833674.000094,1786833674.105858,105.76,ISOLATE_or_BLOCK,75,10
2026-08-15T23:41:22,fdi_high,192.168.2.31,1786833680.811521,1786833680.904539,93.02,ISOLATE_or_BLOCK,75,10
2026-08-15T23:41:29,modbus_scan,192.168.2.31,1786833687.533487,1786833687.541765,8.28,ISOLATE_or_BLOCK,30,0
2026-08-15T23:42:30,recon_connect,192.168.2.66,1786833748.531153,1786833748.538393,7.24,ISOLATE_or_BLOCK,75,0
2026-08-15T23:42:37,unauth_write,192.168.2.66,1786833755.262924,1786833755.271754,8.83,ISOLATE_or_BLOCK,75,0
2026-08-15T23:42:44,unauth_control,192.168.2.66,1786833761.987822,1786833761.995909,8.09,ISOLATE_or_BLOCK,75,0
2026-08-15T23:42:50,modbus_illegal,192.168.2.31,1786833768.656536,1786833768.666326,9.79,ISOLATE_or_BLOCK,30,0
