ts,level,restores,legit_est,ca_count,atk_isolated,atk_hardto
1786584564,29.1,37,3978646,0,0,
1786584565,31.8,37,3978855,0,0,
1786584566,34.1,37,3979069,0,0,
1786584567,36.0,37,3979347,1,1,75
1786584568,37.9,37,3979563,1,1,75
1786584569,40.3,37,3979773,1,1,75
1786584570,41.9,37,3979987,1,1,75
1786584571,43.6,37,3980196,1,1,75
1786584573,45.2,37,3980413,1,1,75
1786584574,47.1,37,3980626,1,1,75
1786584575,48.7,37,3980844,1,1,75
1786584576,49.9,37,3981057,1,1,75
1786584577,51.4,37,3981272,1,1,75
1786584578,53.1,37,3981488,1,1,75
1786584579,54.4,37,3981702,1,1,75
1786584580,55.6,37,3982025,1,1,75
1786584581,57.1,37,3982241,1,1,75
1786584582,58.2,37,3982454,1,1,75
1786584583,59.3,37,3982674,1,1,75
1786584584,60.3,37,3982887,1,1,75
1786584585,61.8,37,3983101,1,1,75
1786584586,62.7,37,3983320,1,1,75
1786584587,63.7,37,3983531,1,1,75
1786584588,64.8,37,3983740,1,1,75
1786584589,65.7,37,3983949,1,1,75
1786584590,66.5,37,3984157,1,1,75
1786584591,67.4,37,3984369,1,1,75
1786584592,68.5,37,3984580,1,1,75
1786584593,69.3,37,3984890,1,1,75
1786584594,70.1,37,3985101,1,1,75
1786584595,71.0,37,3985316,1,1,75
1786584596,65.5,37,3985527,1,1,75
1786584597,62.3,37,3985746,1,1,75
1786584599,60.0,37,3985964,1,1,75
1786584600,54.7,37,3986176,1,1,75
1786584601,51.7,37,3986395,1,1,75
1786584602,48.3,37,3986608,1,1,75
1786584603,44.0,37,3986827,1,1,75
1786584604,41.2,37,3987044,1,1,75
1786584605,38.1,37,3987263,1,1,75
1786584606,35.2,37,3987475,1,1,75
1786584607,31.5,37,3987804,1,1,75
1786584608,29.0,37,3988014,1,1,75
1786584609,26.6,37,3988230,1,1,75
1786584610,30.3,37,3988441,1,1,75
1786584611,31.6,37,3988658,1,1,75
1786584612,33.5,37,3988870,1,1,75
1786584613,35.6,37,3989088,1,1,75
1786584614,37.8,37,3989300,1,1,75
1786584615,39.6,37,3989521,1,1,75
1786584616,41.4,37,3989725,1,1,75
1786584617,43.0,37,3989941,1,1,75
1786584618,45.1,37,3990162,1,1,75
1786584619,46.6,37,3990377,1,1,75
1786584620,48.0,37,3990594,1,1,75
1786584621,49.4,37,3990913,1,1,75
1786584622,51.2,37,3991129,1,1,75
1786584623,52.5,37,3991340,1,1,75
1786584624,53.8,37,3991553,1,1,75
1786584626,55.3,37,3991770,1,1,75
1786584627,56.6,37,3991985,1,1,75
1786584628,57.7,37,3992200,1,1,75
1786584629,58.9,37,3992417,1,1,75
1786584630,60.3,37,3992623,1,1,75
1786584631,61.2,37,3992838,1,1,75
1786584632,62.2,37,3993043,1,1,75
1786584633,63.5,37,3993260,1,1,75
1786584634,64.5,37,3993472,1,1,75
1786584635,65.4,37,3993790,1,1,75
1786584636,66.2,37,3994002,1,1,75
1786584637,67.4,37,3994214,1,1,75
1786584638,68.2,37,3994427,1,1,75
1786584639,69.0,37,3994648,1,1,75
1786584640,70.0,37,3994860,1,1,75
1786584641,70.8,37,3995078,1,1,75
1786584642,68.9,37,3995289,1,1,75
1786584643,65.4,37,3995503,0,0,
1786584644,61.0,37,3995712,0,0,
1786584645,56.9,37,3995934,0,0,
1786584646,52.9,37,3996148,0,0,
1786584647,49.7,37,3996365,0,0,
1786584648,45.4,37,3996687,0,0,
1786584649,42.5,37,3996894,0,0,
1786584650,39.2,37,3997105,0,0,
1786584652,36.6,37,3997322,0,0,
1786584653,32.8,37,3997533,0,0,
1786584654,30.0,37,3997745,0,0,
1786584655,27.5,37,3997955,0,0,
1786584656,28.8,37,3998171,0,0,
1786584657,30.8,37,3998388,0,0,
1786584658,32.5,37,3998608,0,0,
1786584659,34.4,37,3998818,0,0,
1786584660,37.0,37,3999034,0,0,
1786584661,38.9,37,3999250,0,0,
1786584662,40.5,37,3999465,0,0,
1786584663,42.3,37,3999792,0,0,
1786584664,44.0,37,4000002,0,0,
1786584665,46.1,37,4000217,0,0,
1786584666,47.5,37,4000434,0,0,
1786584667,49.0,37,4000651,0,0,
1786584668,50.7,37,4000865,0,0,
1786584669,52.1,37,4001078,0,0,
1786584670,53.5,37,4001290,0,0,
1786584671,54.6,37,4001506,0,0,
1786584672,56.2,37,4001721,0,0,
1786584673,57.3,37,4001934,0,0,
1786584674,58.4,37,4002146,0,0,
1786584675,59.9,37,4002368,0,0,
1786584676,60.9,37,4002583,0,0,
1786584677,61.9,37,4002907,0,0,
1786584679,62.9,37,4003120,0,0,
1786584680,64.1,37,4003334,0,0,
1786584681,65.1,37,4003544,0,0,
1786584682,66.0,37,4003759,0,0,
1786584683,67.1,37,4003977,0,0,
1786584684,67.8,37,4004190,0,0,
1786584685,68.7,37,4004404,0,0,
1786584686,69.5,37,4004621,0,0,
1786584687,70.5,37,4004833,0,0,
1786584688,71.2,37,4005049,0,0,
1786584689,66.5,37,4005259,0,0,
1786584690,61.0,37,4005479,0,0,
1786584691,57.6,37,4005799,0,0,
1786584692,54.3,37,4006009,0,0,
1786584693,51.1,37,4006225,0,0,
1786584694,46.5,37,4006435,0,0,
1786584695,43.2,37,4006649,0,0,
1786584696,40.3,37,4006868,0,0,
1786584697,37.3,37,4007081,0,0,
1786584698,33.5,37,4007298,0,0,
1786584699,30.8,37,4007512,0,0,
1786584700,28.4,37,4007729,0,0,
1786584701,27.7,37,4007944,0,0,
1786584702,29.5,37,4008163,0,0,
1786584703,32.6,37,4008374,0,0,
1786584704,34.1,37,4008688,0,0,
1786584706,36.3,37,4008899,0,0,
1786584707,38.2,37,4009112,0,0,
1786584708,39.8,37,4009326,0,0,
1786584709,41.6,37,4009543,0,0,
1786584710,43.7,37,4009755,0,0,
1786584711,45.3,37,4009975,0,0,
1786584712,46.8,37,4010184,0,0,
1786584713,48.7,37,4010401,0,0,
