trial,t_attack,t_alert,t_enforce,detection_ms,plumbing_ms,mttm_ms
1,1787604493.605368,1787604493.304789,1787604493.612617,-300.579,307.828,7.249
2,1787604499.874188,1787604499.567626,1787604499.88295,-306.562,315.324,8.762
3,1787604506.150095,1787604505.839333,1787604506.157837,-310.762,318.504,7.742
4,1787604512.430144,1787604512.125234,1787604512.439317,-304.91,314.083,9.173
5,1787604518.713155,1787604518.402804,1787604518.720636,-310.351,317.832,7.481
6,1787604525.001225,1787604524.689168,1787604525.009212,-312.057,320.044,7.987
7,1787604531.30179,1787604530.994446,1787604531.309491,-307.344,315.045,7.701
8,1787604537.579763,1787604537.270676,1787604537.586051,-309.087,315.375,6.288
9,1787604543.897854,1787604543.608167,1787604543.904955,-289.687,296.788,7.101
10,1787604550.171431,1787604549.866326,1787604550.179842,-305.105,313.516,8.411
11,1787604556.499361,1787604556.190698,1787604556.506307,-308.663,315.609,6.946
12,1787604562.784221,1787604562.470166,1787604562.792593,-314.055,322.427,8.372
13,1787604569.055088,1787604568.754046,1787604569.068931,-301.042,314.885,13.843
14,1787604575.397811,1787604575.092565,1787604575.403314,-305.246,310.749,5.503
15,1787604581.694504,1787604581.38072,1787604581.702568,-313.784,321.848,8.064
16,1787604587.973628,1787604587.662688,1787604587.981354,-310.94,318.666,7.726
17,1787604594.247319,1787604593.941171,1787604594.268538,-306.148,327.367,21.219
18,1787604600.530481,1787604600.226885,1787604600.56592,-303.596,339.035,35.439
19,1787604606.901543,1787604606.612513,1787604606.910481,-289.03,297.968,8.938
20,1787604613.180619,1787604612.875433,1787604613.188568,-305.186,313.135,7.949
21,1787604619.454581,1787604619.141864,1787604619.466947,-312.717,325.083,12.366
22,1787604625.734907,1787604625.426933,1787604625.742217,-307.974,315.284,7.31
23,1787604632.102433,1787604631.798236,1787604632.109402,-304.197,311.166,6.969
24,1787604638.397303,1787604638.092586,1787604638.405818,-304.717,313.232,8.515
25,1787604644.676056,1787604644.377126,1787604644.681462,-298.93,304.336,5.406
26,1787604650.957372,1787604650.648124,1787604650.964658,-309.248,316.534,7.286
27,1787604657.301534,1787604656.998005,1787604657.310582,-303.529,312.577,9.048
28,1787604663.593841,1787604663.294821,1787604663.600783,-299.02,305.962,6.942
29,1787604669.894791,1787604669.581227,1787604669.901308,-313.564,320.081,6.517
30,1787604676.172526,1787604675.864627,1787604676.18023,-307.899,315.603,7.704
31,1787604682.503438,1787604682.193896,1787604682.512214,-309.542,318.318,8.776
32,1787604688.783365,1787604688.495489,1787604688.791743,-287.876,296.254,8.378
33,1787604695.068177,1787604694.755178,1787604695.07366,-312.999,318.482,5.483
34,1787604701.398235,1787604701.093757,1787604701.405191,-304.478,311.434,6.956
35,1787604707.703974,1787604707.389056,1787604707.713003,-314.918,323.947,9.029
36,1787604713.982881,1787604713.668486,1787604713.990646,-314.395,322.16,7.765
37,1787604720.269274,1787604719.953789,1787604720.274602,-315.485,320.813,5.328
38,1787604726.547232,1787604726.242049,1787604726.561612,-305.183,319.563,14.38
39,1787604732.901647,1787604732.594284,1787604732.908751,-307.363,314.467,7.104
40,1787604739.182028,1787604738.880622,1787604739.19019,-301.406,309.568,8.162
41,1787604745.465082,1787604745.156008,1787604745.471746,-309.074,315.738,6.664
42,1787604751.737587,1787604751.4322,1787604751.742949,-305.387,310.749,5.362
43,1787604758.102161,1787604757.793497,1787604758.109262,-308.664,315.765,7.101
44,1787604764.4007,1787604764.090897,1787604764.407918,-309.803,317.021,7.218
45,1787604770.683526,1787604770.383241,1787604770.689812,-300.285,306.571,6.286
46,1787604776.973978,1787604776.66754,1787604776.981513,-306.438,313.973,7.535
47,1787604783.302703,1787604782.993793,1787604783.312548,-308.91,318.755,9.845
48,1787604789.591924,1787604789.282011,1787604789.598435,-309.913,316.424,6.511
49,1787604795.895697,1787604795.582357,1787604795.901384,-313.34,319.027,5.687
50,1787604802.16307,1787604801.862152,1787604802.170627,-300.918,308.475,7.557
51,1787604808.505524,1787604808.192442,1787604808.514792,-313.082,322.35,9.268
52,1787604814.789354,1787604814.489434,1787604814.798027,-299.92,308.593,8.673
53,1787604821.067079,1787604820.764308,1787604821.072421,-302.771,308.113,5.342
54,1787604827.399599,1787604827.093888,1787604827.407746,-305.711,313.858,8.147
55,1787604833.703446,1787604833.39344,1787604833.711709,-310.006,318.269,8.263
56,1787604839.995906,1787604839.683544,1787604840.002746,-312.362,319.202,6.84
57,1787604846.279202,1787604845.971234,1787604846.284419,-307.968,313.185,5.217
58,1787604852.568352,1787604852.257263,1787604852.574681,-311.089,317.418,6.329
59,1787604858.901603,1787604858.591504,1787604858.909445,-310.099,317.941,7.842
60,1787604865.178272,1787604864.866969,1787604865.186275,-311.303,319.306,8.003
