trial,t_enforce,flow_dur,hard_to
1,1786586655.848929,0.028,75
2,1786586662.115731,0.028,75
3,1786586668.382736,0.026,75
4,1786586674.649636,0.026,75
5,1786586680.911305,0.028,75
6,1786586687.161233,0.029,75
7,1786586693.427495,0.029,75
8,1786586699.695623,0.029,75
9,1786586705.959516,0.030,75
10,1786586712.227691,0.028,75
11,1786586718.491054,0.030,75
12,1786586724.749354,0.025,75
13,1786586731.012485,0.029,75
14,1786586737.266542,0.030,75
15,1786586743.544616,0.028,75
16,1786586749.806139,0.029,75
17,1786586756.080789,0.011,75
18,1786586762.325819,0.028,75
19,1786586768.593957,0.027,75
20,1786586774.862999,0.027,75
21,1786586781.132823,0.028,75
22,1786586787.390614,0.028,75
23,1786586793.667039,0.028,75
24,1786586799.925773,0.028,75
25,1786586806.194667,0.028,75
26,1786586812.488158,0.003,75
27,1786586818.728722,0.028,75
28,1786586824.994181,0.030,75
29,1786586831.249309,0.031,75
30,1786586837.516810,0.029,75
31,1786586843.780410,0.029,75
32,1786586850.051764,0.027,75
33,1786586856.319954,0.028,75
34,1786586862.584633,0.029,75
35,1786586868.923526,0.029,75
36,1786586875.190841,0.029,75
37,1786586881.518879,0.030,75
38,1786586887.785888,0.028,75
39,1786586894.082801,0.029,75
40,1786586900.415125,0.027,75
41,1786586906.717684,0.027,75
42,1786586912.979142,0.029,75
43,1786586919.281571,0.031,75
44,1786586925.577840,0.024,75
45,1786586931.843110,0.027,75
46,1786586938.114332,0.027,75
47,1786586944.379173,0.030,75
48,1786586950.643964,0.026,75
49,1786586956.903021,0.028,75
50,1786586963.170846,0.027,75
51,1786586969.445643,0.027,75
52,1786586975.709063,0.031,75
53,1786586981.983491,0.027,75
54,1786586988.246273,0.029,75
55,1786586994.579882,0,75
56,1786587000.886248,0.030,75
57,1786587007.151329,0.030,75
58,1786587013.405214,0.029,75
59,1786587019.673557,0.029,75
60,1786587025.931284,0.029,75
61,1786587032.203248,0.027,75
62,1786587038.467722,0.029,75
63,1786587044.730069,0.029,75
64,1786587050.994603,0.026,75
65,1786587057.287172,0.030,75
66,1786587063.578658,0.025,75
67,1786587069.836368,0.028,75
68,1786587076.110001,0.030,75
69,1786587082.377048,0.026,75
70,1786587088.634254,0.028,75
71,1786587094.900196,0.029,75
72,1786587101.163211,0.029,75
73,1786587107.424737,0.027,75
74,1786587113.683423,0.028,75
75,1786587119.951480,0.031,75
76,1786587126.219794,0.029,75
77,1786587132.474868,0.029,75
78,1786587138.741843,0.029,75
79,1786587145.003692,0.026,75
80,1786587151.262640,0.030,75
81,1786587157.533281,0.026,75
82,1786587163.804166,0.027,75
83,1786587170.082712,0.017,75
84,1786587176.341365,0.029,75
85,1786587182.607583,0.027,75
86,1786587188.870372,0.028,75
87,1786587195.133133,0.029,75
88,1786587201.395148,0.030,75
89,1786587207.666249,0.026,75
90,1786587213.986613,0.029,75
91,1786587220.251751,0.030,75
92,1786587226.524045,0.026,75
93,1786587232.781721,0.029,75
94,1786587239.079231,0.002,75
95,1786587245.313552,0.029,75
96,1786587251.575820,0.028,75
97,1786587257.837006,0.028,75
98,1786587264.107915,0.030,75
99,1786587270.367449,0.029,75
100,1786587276.632466,0.028,75
