trial,t_enforce,flow_dur
1,1786638077.147750,0.013
2,1786638080.198937,0.024
3,1786638083.229151,0.012
4,1786638086.245756,0.027
5,1786638089.292346,0.027
6,1786638092.321756,0.026
7,1786638095.368391,0.018
8,1786638098.401955,0.020
9,1786638101.493229,0.028
10,1786638104.495282,0.030
11,1786638107.492747,0.011
12,1786638110.500011,0.029
13,1786638113.548390,0.025
14,1786638116.583794,0.027
15,1786638119.631351,0.028
16,1786638122.672677,0.003
17,1786638125.687653,0.003
18,1786638128.704213,0.021
19,1786638131.797086,0.001
20,1786638134.756817,0.006
21,1786638137.799253,0.024
22,1786638140.797893,0.013
23,1786638143.842074,0.002
24,1786638146.847434,0.033
25,1786638149.889533,0.023
26,1786638152.920681,0.026
27,1786638155.960478,0.025
28,1786638158.996810,0.016
29,1786638162.034344,0.027
30,1786638165.078202,0.028
31,1786638168.117830,0.026
32,1786638171.159348,0.021
33,1786638174.177791,0.017
34,1786638177.226705,0.027
35,1786638180.230501,0.008
36,1786638183.253824,0.008
37,1786638186.270174,0.023
38,1786638189.305633,0.030
39,1786638192.352966,0.026
40,1786638195.397079,0.010
