trial,t_enforce,flow_dur
1,1786640440.600998,0.001
2,1786640446.889778,0.030
3,1786640453.211551,0.027
4,1786640459.537194,0.033
5,1786640465.867295,0.029
6,1786640472.192099,0.028
7,1786640478.513419,0.029
8,1786640484.830425,0.029
9,1786640491.148679,0.029
10,1786640497.469202,0.032
11,1786640503.808123,0.027
12,1786640510.200166,0.026
13,1786640516.517029,0.032
14,1786640522.846203,0.030
15,1786640529.165587,0.024
16,1786640535.481395,0.032
17,1786640541.809095,0.030
18,1786640548.130291,0.028
19,1786640554.439842,0.032
20,1786640560.764120,0.027
