ts,level,online,restores
1786570026.990,66.9,1,27
1786570028.014,66.9,1,27
1786570029.034,66.9,1,27
1786570030.053,66.9,1,27
1786570031.077,66.9,1,27
1786570032.104,66.9,1,27
1786570033.127,66.9,1,27
1786570034.150,66.9,1,27
1786570035.174,66.9,1,27
1786570036.198,66.9,1,27
1786570037.220,66.9,1,27
1786570038.242,66.9,1,27
1786570039.264,66.9,1,27
1786570040.283,66.9,1,27
1786570041.305,66.9,1,27
1786570042.326,66.9,1,27
1786570043.346,66.9,1,27
1786570044.365,66.9,1,27
1786570045.386,66.9,1,27
1786570046.405,66.9,1,27
1786570047.427,66.9,1,27
1786570048.447,66.9,1,27
1786570049.468,66.9,1,27
1786570050.488,66.9,1,27
1786570051.508,66.9,1,27
1786570052.529,66.9,1,27
1786570053.551,66.9,1,27
1786570054.572,66.9,1,27
1786570055.595,66.9,1,27
1786570056.617,66.9,1,27
1786570057.643,66.9,1,27
1786570058.663,66.9,1,27
1786570059.689,66.9,1,27
1786570060.709,66.9,1,27
1786570061.729,66.9,1,27
1786570062.748,66.9,1,27
1786570063.767,66.9,1,27
1786570064.786,66.9,1,27
1786570065.805,66.9,1,27
1786570066.823,66.9,1,27
1786570067.845,66.9,1,27
1786570068.871,66.9,1,27
1786570069.893,66.9,1,27
1786570070.919,66.9,1,27
1786570071.942,66.9,1,27
1786570072.964,66.9,1,27
1786570073.982,66.9,1,27
1786570075.000,66.9,1,27
1786570076.021,66.9,1,27
1786570077.042,66.9,1,27
1786570078.065,66.9,1,27
1786570079.085,66.9,1,27
1786570080.109,66.9,1,27
1786570081.130,66.9,1,27
1786570082.151,66.9,1,27
1786570083.175,66.9,1,27
1786570084.196,66.9,1,27
1786570085.216,66.9,1,27
1786570086.235,66.9,1,27
1786570087.260,66.9,1,27
1786570088.284,66.9,1,27
1786570089.310,66.9,1,27
1786570090.335,66.9,1,27
1786570091.356,66.9,1,27
1786570092.379,66.9,1,27
1786570093.398,66.9,1,27
1786570094.419,66.9,1,27
1786570095.440,66.9,1,27
1786570096.462,66.9,1,27
1786570097.483,66.9,1,27
1786570098.506,66.9,1,27
1786570099.528,66.9,1,27
1786570100.549,66.9,1,27
1786570101.570,66.9,1,27
1786570102.590,66.9,1,27
1786570103.614,66.9,1,27
1786570104.639,66.9,1,27
1786570105.660,66.9,1,27
1786570106.685,66.9,1,27
1786570107.704,66.9,1,27
1786570108.725,66.9,1,27
1786570109.747,66.9,1,27
1786570110.768,66.9,1,27
1786570111.793,66.9,1,27
1786570112.815,66.9,1,27
1786570113.834,66.9,1,27
1786570114.853,66.9,1,27
1786570115.878,66.9,1,27
1786570116.904,66.9,1,27
1786570117.927,66.9,1,27
1786570118.950,66.9,1,27
1786570119.968,66.9,1,27
1786570120.991,66.9,1,27
1786570122.015,66.9,1,27
1786570123.036,66.9,1,27
1786570124.059,66.9,1,27
1786570125.081,66.9,1,27
1786570126.101,66.9,1,27
1786570127.126,66.9,1,27
1786570128.147,66.9,1,27
1786570129.168,66.9,1,27
1786570130.193,66.9,1,27
1786570131.214,66.9,1,27
1786570132.236,66.9,1,27
1786570133.256,66.9,1,27
1786570134.280,66.9,1,27
1786570135.305,66.9,1,27
1786570136.326,66.9,1,27
1786570137.346,66.9,1,27
1786570138.365,66.9,1,27
1786570139.385,66.9,1,27
1786570140.408,66.9,1,27
1786570141.429,66.9,1,27
1786570142.453,66.9,1,27
1786570143.476,66.9,1,27
1786570144.498,66.9,1,27
1786570145.522,66.9,1,27
1786570146.542,66.9,1,27
1786570147.564,66.9,1,27
1786570148.583,66.9,1,27
1786570149.605,66.9,1,27
1786570150.625,66.9,1,27
1786570151.645,66.9,1,27
1786570152.667,66.9,1,27
1786570153.689,66.9,1,27
1786570154.708,66.9,1,27
1786570155.732,66.9,1,27
1786570156.756,66.9,1,27
1786570157.777,66.9,1,27
1786570158.799,66.9,1,27
1786570159.824,66.9,1,27
1786570160.847,66.9,1,27
1786570161.870,66.9,1,27
1786570162.896,66.9,1,27
1786570163.918,66.9,1,27
1786570164.940,66.9,1,27
1786570165.964,66.9,1,27
1786570166.985,66.9,1,27
1786570168.006,66.9,1,27
1786570169.024,66.9,1,27
1786570170.049,66.9,1,27
1786570171.068,66.9,1,27
1786570172.092,66.9,1,27
1786570173.113,66.9,1,27
1786570174.133,66.9,1,27
1786570175.157,66.9,1,27
1786570176.181,66.9,1,27
1786570177.198,66.9,1,27
1786570178.217,66.9,1,27
1786570179.237,66.9,1,27
1786570180.261,66.9,1,27
1786570181.286,66.9,1,27
1786570182.305,66.9,1,27
1786570183.328,66.9,1,27
1786570184.350,66.9,1,27
1786570185.373,66.9,1,27
1786570186.394,66.9,1,27
1786570187.415,66.9,1,27
1786570188.437,66.9,1,27
1786570189.461,66.9,1,27
1786570190.486,66.9,1,27
1786570191.505,66.9,1,27
1786570192.529,66.9,1,27
1786570193.547,66.9,1,27
1786570194.570,66.9,1,27
1786570195.590,66.9,1,27
1786570196.608,66.9,1,27
1786570197.628,66.9,1,27
1786570198.650,66.9,1,27
1786570199.673,66.9,1,27
1786570200.693,66.9,1,27
1786570201.714,66.9,1,27
1786570202.732,66.9,1,27
1786570203.752,66.9,1,27
1786570204.772,66.9,1,27
1786570205.792,66.9,1,27
1786570206.811,66.9,1,27
1786570207.832,66.9,1,27
1786570208.854,66.9,1,27
1786570209.878,66.9,1,27
1786570210.904,66.9,1,27
1786570211.924,66.9,1,27
1786570212.949,66.9,1,27
1786570213.970,66.9,1,27
1786570214.990,66.9,1,27
1786570216.013,66.9,1,27
1786570217.031,66.9,1,27
1786570218.055,66.9,1,27
1786570219.077,66.9,1,27
1786570220.098,66.9,1,27
1786570221.124,66.9,1,27
1786570222.147,66.9,1,27
1786570223.167,66.9,1,27
1786570224.184,66.9,1,27
1786570225.205,66.9,1,27
1786570226.230,66.9,1,27
1786570227.250,66.9,1,27
1786570228.269,66.9,1,27
1786570229.288,66.9,1,27
1786570230.309,66.9,1,27
1786570231.332,66.9,1,27
1786570232.352,66.9,1,27
1786570233.376,66.9,1,27
1786570234.394,66.9,1,27
1786570235.416,66.9,1,27
1786570236.439,66.9,1,27
1786570237.458,66.9,1,27
1786570238.480,66.9,1,27
1786570239.501,66.9,1,27
1786570240.523,66.9,1,27
1786570241.545,66.9,1,27
1786570242.564,66.9,1,27
1786570243.585,66.9,1,27
1786570244.603,66.9,1,27
1786570245.623,66.9,1,27
1786570246.649,66.9,1,27
1786570247.670,66.9,1,27
1786570248.694,66.9,1,27
1786570249.719,66.9,1,27
1786570250.743,66.9,1,27
1786570251.763,66.9,1,27
1786570252.783,66.9,1,27
1786570253.804,66.9,1,27
1786570254.825,66.9,1,27
1786570255.845,66.9,1,27
1786570256.868,66.9,1,27
1786570257.892,66.9,1,27
1786570258.912,66.9,1,27
1786570259.932,66.9,1,27
1786570260.952,66.9,1,27
1786570261.971,66.9,1,27
1786570262.994,66.9,1,27
1786570264.015,66.9,1,27
1786570265.035,66.9,1,27
1786570266.057,66.9,1,27
1786570267.080,66.9,1,27
1786570268.102,66.9,1,27
1786570269.123,66.9,1,27
1786570270.146,66.9,1,27
1786570271.173,66.9,1,27
1786570272.196,66.9,1,27
1786570273.222,66.9,1,27
1786570274.242,66.9,1,27
1786570275.268,66.9,1,27
1786570276.289,66.9,1,27
1786570277.313,66.9,1,27
1786570278.334,66.9,1,27
1786570279.353,66.9,1,27
1786570280.378,66.9,1,27
1786570281.402,66.9,1,27
1786570282.430,66.9,1,27
1786570283.454,66.9,1,27
1786570284.479,66.9,1,27
1786570285.501,66.9,1,27
1786570286.521,66.9,1,27
1786570287.544,66.9,1,27
1786570288.563,66.9,1,27
1786570289.580,66.9,1,27
1786570290.602,66.9,1,27
1786570291.623,66.9,1,27
1786570292.647,66.9,1,27
1786570293.670,66.9,1,27
1786570294.690,66.9,1,27
1786570295.710,66.9,1,27
1786570296.729,66.9,1,27
1786570297.752,66.9,1,27
1786570298.776,66.9,1,27
1786570299.796,66.9,1,27
1786570300.816,66.9,1,27
1786570301.835,66.9,1,27
1786570302.852,66.9,1,27
1786570303.875,66.9,1,27
1786570304.899,66.9,1,27
1786570305.921,66.9,1,27
1786570306.941,66.9,1,27
1786570307.966,66.9,1,27
1786570308.991,66.9,1,27
1786570310.015,66.9,1,27
1786570311.039,66.9,1,27
1786570312.059,66.9,1,27
1786570313.079,66.9,1,27
1786570314.100,66.9,1,27
1786570315.123,66.9,1,27
1786570316.149,66.9,1,27
1786570317.172,66.9,1,27
1786570318.193,66.9,1,27
1786570319.214,66.9,1,27
1786570320.234,66.9,1,27
1786570321.257,66.9,1,27
1786570322.281,66.9,1,27
1786570323.305,66.9,1,27
1786570324.326,66.9,1,27
1786570325.351,66.9,1,27
1786570326.372,66.9,1,27
1786570327.395,66.9,1,27
1786570328.419,66.9,1,27
1786570329.440,66.9,1,27
1786570330.457,66.9,1,27
1786570331.479,66.9,1,27
1786570332.501,66.9,1,27
1786570333.523,66.9,1,27
1786570334.545,66.9,1,27
1786570335.565,66.9,1,27
1786570336.587,66.9,1,27
1786570337.609,66.9,1,27
1786570338.629,66.9,1,27
1786570339.654,66.9,1,27
1786570340.675,66.9,1,27
1786570341.711,66.9,1,27
1786570342.733,66.9,1,27
1786570343.753,66.9,1,27
1786570344.772,66.9,1,27
1786570345.794,66.9,1,27
1786570346.815,66.9,1,27
1786570347.837,66.9,1,27
1786570348.862,66.9,1,27
1786570349.881,66.9,1,27
1786570350.903,66.9,1,27
1786570351.926,66.9,1,27
1786570352.945,66.9,1,27
1786570353.968,66.9,1,27
1786570354.992,66.9,1,27
1786570356.015,66.9,1,27
1786570357.035,66.9,1,27
1786570358.057,66.9,1,27
1786570359.078,66.9,1,27
1786570360.096,66.9,1,27
1786570361.121,66.9,1,27
1786570362.140,66.9,1,27
1786570363.161,66.9,1,27
1786570364.182,66.9,1,27
1786570365.204,66.9,1,27
1786570366.228,66.9,1,27
1786570367.250,66.9,1,27
1786570368.273,66.9,1,27
1786570369.292,66.9,1,27
1786570370.316,66.9,1,27
1786570371.340,66.9,1,27
1786570372.361,66.9,1,27
1786570373.383,66.9,1,27
1786570374.406,66.9,1,27
1786570375.431,66.9,1,27
1786570376.450,66.9,1,27
1786570377.470,66.9,1,27
1786570378.487,66.9,1,27
1786570379.512,66.9,1,27
