ts,level,online,restores
1786566046.453,42.8,1,27
1786566047.475,44.3,1,27
1786566048.497,45.9,1,27
1786566049.517,47.4,1,27
1786566050.543,48.8,1,27
1786566051.564,50.7,1,27
1786566052.585,51.9,1,27
1786566053.607,53.3,1,27
1786566054.628,54.5,1,27
1786566055.651,56.1,1,27
1786566056.677,57.3,1,27
1786566057.701,58.3,1,27
1786566058.724,59.4,1,27
1786566059.746,60.4,1,27
1786566060.768,61.8,1,27
1786566061.795,62.9,1,27
1786566062.819,63.8,1,27
1786566063.839,64.8,1,27
1786566064.865,65.8,1,27
1786566065.886,66.8,1,27
1786566066.907,67.6,1,27
1786566067.925,68.4,1,27
1786566068.947,69.2,1,27
1786566069.971,70.2,1,27
1786566070.997,71.0,1,27
1786566072.019,67.9,1,27
1786566073.041,64.1,1,27
1786566074.064,59.5,1,27
1786566075.084,55.7,1,27
1786566076.106,52.2,1,27
1786566077.129,48.7,1,27
1786566078.155,45.7,1,27
1786566079.180,41.5,1,27
1786566080.202,38.4,1,27
1786566081.258,35.7,1,27
1786566082.281,32.7,1,27
1786566083.300,29.5,1,27
1786566084.325,26.9,1,27
1786566085.347,28.3,1,27
1786566086.367,30.6,1,27
1786566087.392,33.4,1,27
1786566088.419,35.1,1,27
1786566089.443,37.1,1,27
1786566090.462,39.0,1,27
1786566091.479,41.3,1,27
1786566092.503,42.8,1,27
1786566093.525,44.5,1,27
1786566094.544,46.0,1,27
1786566095.567,47.5,1,27
1786566096.588,49.3,1,27
1786566097.613,50.7,1,27
1786566098.638,52.1,1,27
1786566099.663,53.3,1,27
1786566100.682,54.6,1,27
1786566101.701,56.3,1,27
1786566102.722,57.3,1,27
1786566103.748,58.5,1,27
1786566104.768,59.5,1,27
1786566105.791,60.6,1,27
1786566106.809,62.0,1,27
1786566107.833,62.9,1,27
1786566108.854,63.9,1,27
1786566109.873,64.8,1,27
1786566110.897,66.0,1,27
1786566111.921,66.8,1,27
1786566112.942,67.7,1,27
1786566113.961,68.4,1,27
1786566114.987,69.3,1,27
1786566116.007,70.3,1,27
1786566117.028,71.0,1,27
1786566118.050,65.6,1,27
1786566119.069,63.2,1,27
1786566120.095,58.3,1,27
1786566121.118,55.2,1,27
1786566122.137,51.4,1,27
1786566123.160,48.2,1,27
1786566124.179,44.8,1,27
1786566125.202,40.7,1,27
1786566126.224,37.9,1,27
