t_s,reactive_flows,inject_rate_s,install_med_ms,decide_ms,errors,vswitchd_mb
5.8,11627,2060,9.57,0.433,0,281.8
11.2,22154,2025,9.96,0.72,0,286.8
16.5,32072,1824,15.75,0.787,0,300.8
22.2,40091,1487,19.58,0.733,0,313.9
28.4,49286,1459,22.5,0.691,0,327.1
34.5,55602,1034,22.33,0.66,0,336.0
40.6,63347,1281,22.55,0.635,0,347.1
46.7,70869,1291,16.91,0.633,0,364.2
53.1,77603,1158,23.59,0.637,0,374.5
60.2,85795,1083,23.98,0.656,0,382.2
67.2,92768,993,25.15,0.706,0,392.1
75.3,94118,0,0,0.702,0,393.0
85.4,73597,0,0,0.702,0,425.2
97.9,0,0,0,0.701,0,425.2
