phase,t_s,sources_sent,reactive_flows,decide_ms,install_med_ms
ramp,0.6,250,250,0.034,2.01
ramp,1.3,500,500,0.036,2.02
ramp,2.5,1000,1000,0.042,2.02
ramp,5.0,2000,2000,0.051,2.02
ramp,9.9,4000,4000,0.064,2.02
ramp,14.7,6000,6000,0.072,2.03
ramp,19.8,8000,8000,0.078,2.02
ramp,30.0,12000,12000,0.086,2.03
ramp,40.6,16000,16000,0.091,2.03
ramp,51.8,20000,20000,0.095,2.03
drain,56.9,20000,20000,0.095,
drain,62.4,20000,20000,0.095,
drain,67.8,20000,20000,0.095,
drain,73.4,20000,20000,0.095,
drain,78.8,20000,18507,0.095,
drain,84.9,20000,16000,0.095,
drain,90.5,20000,13809,0.095,
drain,96.0,20000,11460,0.095,
drain,101.5,20000,9433,0.095,
drain,106.8,20000,7344,0.095,
drain,112.2,20000,5373,0.094,
drain,117.8,20000,3178,0.094,
drain,123.1,20000,1247,0.094,
drain,128.3,20000,0,0.094,
