ts,cycle,mode,src,dst,dst_tier,op,rate,decided_tier,response,hard_timeout
1786641736,1,alternating,192.168.2.66,192.168.2.10,CRITICAL,DIAG,0,FORBIDDEN,ISOLATE,75
1786641737,1,alternating,192.168.2.66,192.168.3.10,HIGH,WRITE,0,FORBIDDEN,ISOLATE,60
1786641737,1,alternating,192.168.2.66,192.168.2.30,MEDIUM,CONTROL,12,FORBIDDEN,ISOLATE,45
1786641738,1,alternating,192.168.2.66,192.168.2.20,LOW,WRITE,0,FORBIDDEN,ISOLATE,30
1786641739,1,alternating,192.168.2.31,192.168.2.10,CRITICAL,DIAG,12,FORBIDDEN,ISOLATE,75
1786641740,1,alternating,192.168.2.31,192.168.3.10,HIGH,WRITE,12,SENSITIVE,BLOCK,60
1786641741,1,alternating,192.168.2.31,192.168.2.30,MEDIUM,CONTROL,12,FORBIDDEN,ISOLATE,45
1786641741,1,alternating,192.168.2.31,192.168.2.20,LOW,READ,0,OPERATIONAL,ALLOW,
1786641742,1,simultaneous,192.168.2.66,192.168.2.20,LOW,CONTROL,12,FORBIDDEN,ISOLATE,75
1786641742,1,simultaneous,192.168.2.66,192.168.3.10,HIGH,CONTROL,12,FORBIDDEN,ISOLATE,75
1786641742,1,simultaneous,192.168.2.66,192.168.2.30,MEDIUM,CONTROL,12,FORBIDDEN,ISOLATE,75
1786641742,1,simultaneous,192.168.2.66,192.168.2.10,CRITICAL,CONTROL,12,FORBIDDEN,ISOLATE,75
1786641744,2,alternating,192.168.2.66,192.168.2.10,CRITICAL,WRITE,12,FORBIDDEN,ISOLATE,75
1786641745,2,alternating,192.168.2.66,192.168.3.10,HIGH,WRITE,0,FORBIDDEN,ISOLATE,60
1786641746,2,alternating,192.168.2.66,192.168.2.30,MEDIUM,WRITE,0,FORBIDDEN,ISOLATE,45
1786641746,2,alternating,192.168.2.66,192.168.2.20,LOW,WRITE,12,FORBIDDEN,ISOLATE,30
1786641747,2,alternating,192.168.2.31,192.168.2.10,CRITICAL,DIAG,12,FORBIDDEN,ISOLATE,75
1786641748,2,alternating,192.168.2.31,192.168.3.10,HIGH,CONTROL,12,FORBIDDEN,ISOLATE,60
1786641749,2,alternating,192.168.2.31,192.168.2.30,MEDIUM,CONTROL,0,FORBIDDEN,ISOLATE,45
1786641749,2,alternating,192.168.2.31,192.168.2.20,LOW,DIAG,0,FORBIDDEN,ISOLATE,30
1786641750,2,simultaneous,192.168.2.66,192.168.2.20,LOW,CONTROL,12,FORBIDDEN,ISOLATE,75
1786641750,2,simultaneous,192.168.2.66,192.168.2.10,CRITICAL,CONTROL,12,FORBIDDEN,ISOLATE,75
1786641750,2,simultaneous,192.168.2.66,192.168.2.30,MEDIUM,CONTROL,12,FORBIDDEN,ISOLATE,75
1786641750,2,simultaneous,192.168.2.66,192.168.3.10,HIGH,CONTROL,12,FORBIDDEN,ISOLATE,75
1786641752,3,alternating,192.168.2.66,192.168.2.10,CRITICAL,CONTROL,0,FORBIDDEN,ISOLATE,75
1786641753,3,alternating,192.168.2.66,192.168.3.10,HIGH,DIAG,0,FORBIDDEN,ISOLATE,60
1786641754,3,alternating,192.168.2.66,192.168.2.30,MEDIUM,WRITE,12,FORBIDDEN,ISOLATE,45
1786641754,3,alternating,192.168.2.66,192.168.2.20,LOW,DIAG,0,FORBIDDEN,ISOLATE,30
1786641755,3,alternating,192.168.2.31,192.168.2.10,CRITICAL,WRITE,12,FORBIDDEN,ISOLATE,75
1786641756,3,alternating,192.168.2.31,192.168.3.10,HIGH,DIAG,0,FORBIDDEN,ISOLATE,60
1786641757,3,alternating,192.168.2.31,192.168.2.30,MEDIUM,CONTROL,12,FORBIDDEN,ISOLATE,45
1786641757,3,alternating,192.168.2.31,192.168.2.20,LOW,WRITE,0,SENSITIVE,THROTTLE,30
1786641758,3,simultaneous,192.168.2.66,192.168.2.20,LOW,CONTROL,12,FORBIDDEN,ISOLATE,75
1786641758,3,simultaneous,192.168.2.66,192.168.2.10,CRITICAL,CONTROL,12,FORBIDDEN,ISOLATE,75
1786641758,3,simultaneous,192.168.2.66,192.168.2.30,MEDIUM,CONTROL,12,FORBIDDEN,ISOLATE,75
1786641758,3,simultaneous,192.168.2.66,192.168.3.10,HIGH,CONTROL,12,FORBIDDEN,ISOLATE,75
1786641760,4,alternating,192.168.2.66,192.168.2.10,CRITICAL,READ,12,FORBIDDEN,ISOLATE,75
1786641761,4,alternating,192.168.2.66,192.168.3.10,HIGH,DIAG,0,FORBIDDEN,ISOLATE,60
1786641762,4,alternating,192.168.2.66,192.168.2.30,MEDIUM,CONTROL,0,FORBIDDEN,ISOLATE,45
1786641762,4,alternating,192.168.2.66,192.168.2.20,LOW,DIAG,12,FORBIDDEN,ISOLATE,30
1786641763,4,alternating,192.168.2.31,192.168.2.10,CRITICAL,READ,12,OPERATIONAL,BLOCK,75
1786641764,4,alternating,192.168.2.31,192.168.3.10,HIGH,READ,0,OPERATIONAL,ALLOW,
1786641765,4,alternating,192.168.2.31,192.168.2.30,MEDIUM,CONTROL,0,FORBIDDEN,ISOLATE,45
1786641765,4,alternating,192.168.2.31,192.168.2.20,LOW,WRITE,12,SENSITIVE,BLOCK,30
1786641766,4,simultaneous,192.168.2.66,192.168.3.10,HIGH,CONTROL,12,FORBIDDEN,ISOLATE,75
1786641766,4,simultaneous,192.168.2.66,192.168.2.20,LOW,CONTROL,12,FORBIDDEN,ISOLATE,75
1786641766,4,simultaneous,192.168.2.66,192.168.2.30,MEDIUM,CONTROL,12,FORBIDDEN,ISOLATE,75
1786641766,4,simultaneous,192.168.2.66,192.168.2.10,CRITICAL,CONTROL,12,FORBIDDEN,ISOLATE,75
1786641768,5,alternating,192.168.2.66,192.168.2.10,CRITICAL,READ,0,FORBIDDEN,ISOLATE,75
1786641769,5,alternating,192.168.2.66,192.168.3.10,HIGH,WRITE,0,FORBIDDEN,ISOLATE,60
1786641770,5,alternating,192.168.2.66,192.168.2.30,MEDIUM,WRITE,12,FORBIDDEN,ISOLATE,45
1786641770,5,alternating,192.168.2.66,192.168.2.20,LOW,CONTROL,0,FORBIDDEN,ISOLATE,30
1786641771,5,alternating,192.168.2.31,192.168.2.10,CRITICAL,DIAG,0,FORBIDDEN,ISOLATE,75
1786641772,5,alternating,192.168.2.31,192.168.3.10,HIGH,DIAG,0,FORBIDDEN,ISOLATE,60
1786641773,5,alternating,192.168.2.31,192.168.2.30,MEDIUM,DIAG,0,FORBIDDEN,ISOLATE,45
1786641773,5,alternating,192.168.2.31,192.168.2.20,LOW,READ,0,OPERATIONAL,ALLOW,
1786641774,5,simultaneous,192.168.2.66,192.168.2.30,MEDIUM,CONTROL,12,FORBIDDEN,ISOLATE,75
1786641774,5,simultaneous,192.168.2.66,192.168.3.10,HIGH,CONTROL,12,FORBIDDEN,ISOLATE,75
1786641774,5,simultaneous,192.168.2.66,192.168.2.20,LOW,CONTROL,12,FORBIDDEN,ISOLATE,75
1786641774,5,simultaneous,192.168.2.66,192.168.2.10,CRITICAL,CONTROL,12,FORBIDDEN,ISOLATE,75
1786641776,6,alternating,192.168.2.66,192.168.2.10,CRITICAL,READ,0,FORBIDDEN,ISOLATE,75
1786641777,6,alternating,192.168.2.66,192.168.3.10,HIGH,WRITE,12,FORBIDDEN,ISOLATE,60
1786641778,6,alternating,192.168.2.66,192.168.2.30,MEDIUM,CONTROL,0,FORBIDDEN,ISOLATE,45
1786641778,6,alternating,192.168.2.66,192.168.2.20,LOW,WRITE,12,FORBIDDEN,ISOLATE,30
1786641779,6,alternating,192.168.2.31,192.168.2.10,CRITICAL,DIAG,12,FORBIDDEN,ISOLATE,75
1786641780,6,alternating,192.168.2.31,192.168.3.10,HIGH,READ,0,OPERATIONAL,ALLOW,
1786641781,6,alternating,192.168.2.31,192.168.2.30,MEDIUM,DIAG,12,FORBIDDEN,ISOLATE,45
1786641781,6,alternating,192.168.2.31,192.168.2.20,LOW,CONTROL,0,FORBIDDEN,ISOLATE,30
