trial,t_enforce,flow_dur,hard_to
1,1786647789.860708,0.028,75
2,1786647795.894910,0.014,75
3,1786647801.925671,0.017,75
4,1786647807.999475,0.032,75
5,1786647813.999207,0.002,75
6,1786647820.031735,0.005,75
7,1786647826.041633,0.031,75
8,1786647832.075223,0.010,75
9,1786647838.090839,0.006,75
10,1786647844.104552,0.006,75
11,1786647850.125880,0.021,75
12,1786647856.164432,0.029,75
13,1786647862.180786,0.001,75
14,1786647868.200535,0.023,75
15,1786647874.227878,0.004,75
16,1786647880.236695,0.001,75
17,1786647886.254107,0.029,75
18,1786647892.279516,0.011,75
19,1786647898.291956,0,75
20,1786647904.312035,0.015,75
21,1786647910.349863,0.001,75
22,1786647916.378933,0.025,75
23,1786647922.406557,0.015,75
24,1786647928.412254,0.027,75
25,1786647934.428444,0.009,75
26,1786647940.448748,0.002,75
27,1786647946.476488,0.026,75
28,1786647952.481573,0.016,75
29,1786647958.501485,0.004,75
30,1786647964.530260,0.025,75
31,1786647970.602557,0.008,75
32,1786647976.599612,0.011,75
33,1786647982.602486,0.028,75
34,1786647988.601308,0.026,75
35,1786647994.621085,0.016,75
36,1786648000.666707,0.023,75
37,1786648006.706235,0.018,75
38,1786648012.731095,0.005,75
39,1786648018.759076,0.008,75
40,1786648024.771419,0.005,75
41,1786648030.791077,0.010,75
42,1786648036.815058,0.019,75
43,1786648042.843616,0.004,75
44,1786648048.854791,0.018,75
45,1786648054.866497,0.015,75
46,1786648060.885006,0.017,75
47,1786648066.902534,0.013,75
48,1786648072.925382,0.022,75
49,1786648078.949608,0.002,75
50,1786648084.973700,0.013,75
51,1786648090.994174,0.022,75
52,1786648097.029156,0.016,75
53,1786648103.073380,0.030,75
54,1786648109.085074,0.004,75
55,1786648115.104953,0.025,75
56,1786648121.129251,0.029,75
57,1786648127.158257,0.012,75
58,1786648133.194641,0.006,75
59,1786648139.220694,0.016,75
60,1786648145.240803,0.006,75
61,1786648151.264755,0.007,75
62,1786648157.309193,0.025,75
63,1786648163.341636,0.002,75
64,1786648169.372950,0.014,75
65,1786648175.388977,0.012,75
66,1786648181.416571,0.028,75
67,1786648187.518490,0.007,75
68,1786648193.500376,0.004,75
69,1786648199.498812,0.032,75
70,1786648205.498886,0.010,75
71,1786648211.534475,0.008,75
72,1786648217.558825,0.019,75
73,1786648223.576842,0.018,75
74,1786648229.587229,0.002,75
75,1786648235.598212,0.001,75
76,1786648241.630322,0.023,75
77,1786648247.659726,0.018,75
78,1786648253.669431,0.018,75
79,1786648259.687414,0.009,75
80,1786648265.703344,0.026,75
81,1786648271.726774,0.001,75
82,1786648277.802073,0.005,75
83,1786648283.800702,0.016,75
84,1786648289.823623,0.023,75
85,1786648295.852689,0,75
86,1786648301.885919,0.020,75
87,1786648307.913646,0.030,75
88,1786648313.940076,0.013,75
89,1786648319.949407,0.007,75
90,1786648325.968011,0.024,75
91,1786648332.000380,0.003,75
92,1786648338.033910,0.025,75
93,1786648344.054718,0.013,75
94,1786648350.070481,0.009,75
95,1786648356.094387,0.012,75
96,1786648362.115011,0.011,75
97,1786648368.147765,0.002,75
98,1786648374.164131,0.012,75
99,1786648380.193391,0.002,75
100,1786648386.200039,0.017,75
