trial,injected_t,detected,detect_latency_ms
1,1786720316.448859709,1,272.6
2,1786720321.497188468,1,265.3
3,1786720326.544850967,1,265.2
4,1786720331.595071216,1,273.4
5,1786720336.638007691,1,273.1
6,1786720341.689604768,1,271.0
7,1786720346.739151124,1,273.6
8,1786720351.784433313,1,270.5
9,1786720356.836111202,1,280.0
10,1786720361.886556804,1,266.8
11,1786720366.936531635,1,262.9
12,1786720371.985491972,1,264.2
13,1786720377.028132911,1,275.2
14,1786720382.077186399,1,282.0
15,1786720387.129393734,1,260.3
16,1786720392.175533870,1,335.2
17,1786720397.216901272,1,273.0
18,1786720402.265920332,1,270.7
19,1786720407.312001446,1,265.3
20,1786720412.356146624,1,265.9
21,1786720417.403846706,1,296.5
22,1786720422.449899860,1,274.8
23,1786720427.495581972,1,268.9
24,1786720432.544389139,1,266.4
25,1786720437.595384344,1,268.8
26,1786720442.645398325,1,279.7
27,1786720447.696145027,1,265.8
28,1786720452.746324891,1,280.1
29,1786720457.793395637,1,277.2
30,1786720462.843466974,1,269.0
