src,dst,op,rate,label,tier,response,verdict
192.168.2.9,192.168.2.10,READ,0,legit,CRITICAL,REFUSE,TN
192.168.2.9,192.168.2.10,READ,1,legit,CRITICAL,REFUSE,TN
192.168.2.9,192.168.2.10,READ,2,legit,CRITICAL,REFUSE,TN
192.168.2.9,192.168.2.10,READ,3,legit,CRITICAL,REFUSE,TN
192.168.2.9,192.168.2.10,READ,4,legit,CRITICAL,REFUSE,TN
192.168.2.30,192.168.2.10,READ,0,legit,OPERATIONAL,ALLOW,TN
192.168.2.30,192.168.2.10,READ,1,legit,OPERATIONAL,ALLOW,TN
192.168.2.30,192.168.2.10,READ,2,legit,OPERATIONAL,ALLOW,TN
192.168.2.30,192.168.2.10,READ,3,legit,OPERATIONAL,ALLOW,TN
192.168.2.30,192.168.2.10,READ,4,legit,OPERATIONAL,ALLOW,TN
192.168.2.31,192.168.2.10,READ,0,legit,OPERATIONAL,ALLOW,TN
192.168.2.31,192.168.2.10,READ,1,legit,OPERATIONAL,ALLOW,TN
192.168.2.31,192.168.2.10,READ,2,legit,OPERATIONAL,ALLOW,TN
192.168.2.31,192.168.2.10,READ,3,legit,OPERATIONAL,ALLOW,TN
192.168.2.31,192.168.2.10,READ,4,legit,OPERATIONAL,ALLOW,TN
192.168.2.45,192.168.2.10,READ,0,legit,OPERATIONAL,ALLOW,TN
192.168.2.45,192.168.2.10,READ,1,legit,OPERATIONAL,ALLOW,TN
192.168.2.45,192.168.2.10,READ,2,legit,OPERATIONAL,ALLOW,TN
192.168.2.45,192.168.2.10,READ,3,legit,OPERATIONAL,ALLOW,TN
192.168.2.45,192.168.2.10,READ,4,legit,OPERATIONAL,ALLOW,TN
192.168.3.66,192.168.3.10,READ,0,legit,OPERATIONAL,ALLOW,TN
192.168.3.66,192.168.3.10,READ,1,legit,OPERATIONAL,ALLOW,TN
192.168.3.66,192.168.3.10,READ,2,legit,OPERATIONAL,ALLOW,TN
192.168.3.66,192.168.3.10,READ,3,legit,OPERATIONAL,ALLOW,TN
192.168.3.66,192.168.3.10,READ,4,legit,OPERATIONAL,ALLOW,TN
192.168.2.30,192.168.2.20,READ,0,legit,OPERATIONAL,ALLOW,TN
192.168.2.30,192.168.2.20,READ,1,legit,OPERATIONAL,ALLOW,TN
192.168.2.30,192.168.2.20,READ,2,legit,OPERATIONAL,ALLOW,TN
192.168.2.30,192.168.2.20,READ,3,legit,OPERATIONAL,ALLOW,TN
192.168.2.30,192.168.2.20,READ,4,legit,OPERATIONAL,ALLOW,TN
192.168.2.55,192.168.2.10,READ,0,exempt,OPERATIONAL,ALLOW,TN
192.168.2.55,192.168.2.10,WRITE,0,exempt,OPERATIONAL,ALLOW,TN
192.168.2.55,192.168.2.10,READ,10,exempt,OPERATIONAL,ALLOW,TN
192.168.2.55,192.168.2.10,WRITE,10,exempt,OPERATIONAL,ALLOW,TN
192.168.2.55,192.168.2.10,READ,30,exempt,OPERATIONAL,ALLOW,TN
192.168.2.55,192.168.2.10,WRITE,30,exempt,OPERATIONAL,ALLOW,TN
192.168.2.55,192.168.2.10,READ,50,exempt,OPERATIONAL,ALLOW,TN
