time,src,srole,dst,drole,proto,op,tier,resp,mode,action
08-01T14:26:07,192.168.2.55,ews,192.168.2.10,plc,S7,READ,OPERATIONAL,ALLOW,ENFORCED,ALLOW (operational) - monitor only [CRIT:CRITICAL]
08-01T14:26:06,192.168.2.45,remediation,192.168.2.10,plc,S7,READ,OPERATIONAL,ALLOW,ENFORCED,ALLOW (operational) - monitor only [CRIT:CRITICAL]
08-01T14:26:06,192.168.2.45,remediation,192.168.2.10,plc,TCP,,OPERATIONAL,ALLOW,ENFORCED,ALLOW (operational) - monitor only [CRIT:CRITICAL]
08-01T14:26:05,192.168.2.55,ews,192.168.2.10,plc,S7,CONTROL,OPERATIONAL,ALLOW,ENFORCED,ALLOW (operational) - monitor only [CRIT:CRITICAL]
08-01T14:26:04,192.168.2.55,ews,192.168.2.10,plc,S7,READ,OPERATIONAL,ALLOW,ENFORCED,ALLOW (operational) - monitor only [CRIT:CRITICAL]
08-01T14:26:02,192.168.3.66,historian,192.168.3.10,plc,TCP,,OPERATIONAL,ALLOW,ENFORCED,ALLOW (operational) - monitor only [CRIT:HIGH]
08-01T14:26:02,192.168.2.55,ews,192.168.2.10,plc,S7,CONTROL,OPERATIONAL,ALLOW,ENFORCED,ALLOW (operational) - monitor only [CRIT:CRITICAL]
08-01T14:26:01,192.168.2.55,ews,192.168.2.10,plc,S7,READ,OPERATIONAL,ALLOW,ENFORCED,ALLOW (operational) - monitor only [CRIT:CRITICAL]
08-01T14:25:59,192.168.2.55,ews,192.168.2.10,plc,S7,CONTROL,OPERATIONAL,ALLOW,ENFORCED,ALLOW (operational) - monitor only [CRIT:CRITICAL]
08-01T14:25:59,192.168.2.30,historian,192.168.2.10,plc,S7,READ,OPERATIONAL,ALLOW,ENFORCED,ALLOW (operational) - monitor only [CRIT:CRITICAL]
08-01T14:25:59,192.168.3.66,historian,192.168.3.10,plc,TCP,,OPERATIONAL,ALLOW,ENFORCED,ALLOW (operational) - monitor only [CRIT:HIGH]
08-01T14:25:59,192.168.3.66,historian,192.168.3.10,plc,S7,READ,OPERATIONAL,ALLOW,ENFORCED,ALLOW (operational) - monitor only [CRIT:HIGH]
08-01T14:25:58,192.168.2.55,ews,192.168.2.10,plc,S7,READ,OPERATIONAL,ALLOW,ENFORCED,ALLOW (operational) - monitor only [CRIT:CRITICAL]
08-01T14:25:56,192.168.2.55,ews,192.168.2.10,plc,S7,CONTROL,OPERATIONAL,ALLOW,MONITOR,DEFENSE DISARMED - would ALLOW (monitor only) [CRIT:CRITICAL]
