ts,phase,level,online,restores,est_npkts
1786575992,disarmed,32.1,1,37,2131611
1786575993,disarmed,34.2,1,37,
1786575994,disarmed,35.9,1,37,
1786575995,disarmed,37.8,1,37,
1786575996,disarmed,40.1,1,37,
1786575997,disarmed,41.7,1,37,
1786575998,disarmed,43.3,1,37,
1786575999,disarmed,45.0,1,37,
1786576000,disarmed,46.5,1,37,
1786576001,disarmed,48.4,1,37,
1786576002,disarmed,49.9,1,37,
1786576003,disarmed,51.1,1,37,
1786576005,disarmed,52.5,1,37,
1786576006,disarmed,54.2,1,37,
1786576007,disarmed,55.4,1,37,
1786576008,disarmed,56.6,1,37,2134848
1786576009,disarmed,57.6,1,37,
1786576010,disarmed,58.8,1,37,
1786576011,disarmed,60.2,1,37,
1786576012,disarmed,61.2,1,37,
1786576013,disarmed,62.3,1,37,
1786576014,disarmed,63.2,1,37,
1786576015,disarmed,64.4,1,37,
1786576016,disarmed,65.3,1,37,
1786576017,disarmed,66.2,1,37,
1786576018,disarmed,67.1,1,37,
1786576019,disarmed,67.9,1,37,
1786576020,disarmed,68.7,1,37,
1786576021,disarmed,69.8,1,37,
1786576022,disarmed,70.5,1,37,
1786576023,disarmed,71.2,1,37,2138193
1786576024,disarmed,66.1,1,37,
1786576025,disarmed,61.2,1,37,
1786576026,disarmed,57.2,1,37,
1786576027,disarmed,53.7,1,37,
1786576028,disarmed,50.7,1,37,
1786576029,disarmed,47.2,1,37,
1786576030,disarmed,43.2,1,37,
1786576031,disarmed,39.9,1,37,
1786576032,disarmed,37.1,1,37,
1786576033,disarmed,34.2,1,37,
1786576034,disarmed,31.4,1,37,
1786576035,disarmed,28.1,1,37,
1786576036,disarmed,26.8,1,37,
1786576037,disarmed,29.4,1,37,
1786576038,disarmed,31.6,1,37,2141431
1786576039,disarmed,33.7,1,37,
1786576040,disarmed,36.3,1,37,
1786576041,disarmed,38.2,1,37,
1786576042,disarmed,39.9,1,37,
1786576043,disarmed,41.6,1,37,
1786576044,disarmed,43.1,1,37,
1786576045,disarmed,45.3,1,37,
1786576046,disarmed,46.7,1,37,
1786576047,disarmed,48.2,1,37,
1786576048,disarmed,49.6,1,37,
1786576049,disarmed,51.4,1,37,
1786576050,disarmed,52.7,1,37,
1786576051,disarmed,53.9,1,37,
1786576052,disarmed,55.3,1,37,
1786576053,disarmed,56.4,1,37,2144782
1786576054,disarmed,57.9,1,37,
1786576056,disarmed,59.1,1,37,
1786576057,disarmed,60.1,1,37,
1786576058,disarmed,61.2,1,37,
1786576059,disarmed,62.1,1,37,
1786576060,disarmed,63.4,1,37,
1786576061,disarmed,64.3,1,37,
1786576062,disarmed,65.3,1,37,
1786576063,disarmed,66.2,1,37,
1786576064,disarmed,67.0,1,37,
1786576065,disarmed,68.1,1,37,
1786576066,disarmed,68.9,1,37,
1786576067,disarmed,69.7,1,37,
1786576068,disarmed,70.4,1,37,
1786576069,disarmed,70.2,1,37,2148104
1786576070,disarmed,65.7,1,37,
1786576071,disarmed,61.9,1,37,
1786576072,disarmed,57.9,1,37,
1786576073,disarmed,54.6,1,37,
1786576074,disarmed,50.0,1,37,
1786576075,disarmed,47.0,1,37,
1786576076,disarmed,43.6,1,37,
1786576077,disarmed,40.5,1,37,
1786576078,disarmed,37.7,1,37,
1786576079,disarmed,33.9,1,37,
1786576080,disarmed,31.2,1,37,
1786576081,disarmed,28.6,1,37,
1786576082,disarmed,26.1,1,37,
1786576083,disarmed,29.1,1,37,
1786576084,disarmed,32.5,1,37,2151354
1786576085,disarmed,34.0,1,37,
1786576086,disarmed,35.8,1,37,
1786576087,disarmed,37.7,1,37,
1786576088,disarmed,39.4,1,37,
1786576089,disarmed,41.7,1,37,
1786576090,disarmed,43.3,1,37,
1786576091,disarmed,44.9,1,37,
1786576092,disarmed,46.3,1,37,
1786576093,disarmed,47.9,1,37,
1786576094,disarmed,49.8,1,37,
1786576095,disarmed,51.1,1,37,
1786576096,disarmed,52.4,1,37,
1786576097,disarmed,53.7,1,37,
1786576098,disarmed,55.0,1,37,
1786576099,disarmed,56.6,1,37,2154682
1786576100,disarmed,57.6,1,37,
1786576101,disarmed,58.8,1,37,
1786576102,disarmed,59.8,1,37,
1786576103,disarmed,60.9,1,37,
1786576104,disarmed,62.2,1,37,
1786576105,disarmed,63.2,1,37,
1786576106,disarmed,64.1,1,37,
1786576108,disarmed,65.0,1,37,
1786576109,disarmed,66.0,1,37,
1786576110,disarmed,67.0,1,37,
1786576111,disarmed,67.9,1,37,
1786576112,disarmed,68.8,1,37,
1786576113,disarmed,69.5,1,37,
1786576114,disarmed,70.3,1,37,
1786576115,disarmed,71.2,1,37,2157924
1786576116,disarmed,66.0,1,37,
1786576117,disarmed,62.4,1,37,
1786576118,disarmed,58.9,1,37,
