ts,rel,level,legit_pps,ca,event
1786644747,0,63.5,0,0,
1786644748,2,64.8,216,0,
1786644749,3,65.7,319,0,
1786644750,4,66.5,205,0,
1786644751,5,67.4,215,0,
1786644752,6,68.5,210,0,
1786644753,7,69.3,214,0,
1786644754,8,70.1,222,0,
1786644755,9,71.1,215,0,
1786644756,10,67.3,211,0,
1786644757,11,63.6,212,0,
1786644758,12,60.3,212,0,
1786644759,13,55.6,212,0,
1786644760,14,52.1,212,0,
1786644761,15,48.4,326,0,
1786644762,16,44.2,209,0,
1786644763,17,41.1,215,0,
1786644764,18,38.1,216,0,
1786644765,19,35.5,215,0,
1786644766,20,31.6,218,0,
1786644767,21,29.2,213,0,
1786644768,22,26.6,210,0,
1786644769,23,29.4,218,0,
1786644771,24,31.5,212,0,
1786644772,26,33.7,220,0,
1786644773,27,35.3,212,0,
1786644774,28,38.0,307,0,
1786644775,29,39.6,211,0,
1786644776,30,41.4,216,0,
1786644777,31,43.7,209,0,
1786644778,32,45.2,212,0,
1786644779,33,46.7,211,0,
1786644780,34,48.6,209,0,
1786644781,35,50.1,221,0,
1786644782,36,51.3,211,0,
1786644783,37,53.1,215,0,
1786644784,38,54.3,214,0,
1786644785,39,55.6,208,0,
1786644786,40,56.7,327,0,
1786644787,41,58.2,214,0,
1786644788,42,59.2,214,0,
1786644789,43,60.4,209,0,
1786644790,44,61.8,210,0,
1786644791,45,62.7,212,0,
1786644792,46,63.6,209,0,
1786644793,47,64.5,213,0,
1786644795,48,65.7,208,0,
1786644796,50,66.6,209,0,
1786644797,51,67.5,219,0,
1786644798,52,68.6,217,0,
1786644799,53,69.3,313,0,
1786644800,54,70.1,211,0,
1786644801,55,70.8,214,0,
1786644802,56,65.7,215,0,
1786644803,57,63.6,213,0,
1786644804,58,60.0,209,0,
1786644805,59,55.0,208,0,
1786644806,60,50.6,322,0,SNORT_RESTART
1786644807,61,47.2,218,0,
1786644808,62,43.1,215,0,
1786644810,63,39.9,210,0,
1786644811,65,36.8,205,0,
1786644812,66,34.0,214,0,
1786644813,67,30.6,219,0,
1786644814,68,27.8,323,0,
1786644815,69,25.7,213,0,
1786644816,70,29.4,214,0,
1786644817,71,32.0,205,0,
1786644818,72,34.2,208,0,
1786644819,73,36.6,213,0,
1786644820,74,38.3,211,0,
1786644821,75,40.1,210,0,
1786644822,76,41.7,210,0,
1786644823,77,43.9,217,0,
1786644824,78,45.4,218,0,
1786644825,79,46.9,214,0,
1786644826,80,48.8,322,0,
1786644827,81,50.3,221,0,
1786644828,82,51.5,210,0,
